asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,strategy,rule_sql,default_value,notes
HR.M_EMPLOYEE,EMP_ID,CHAR(8),public.employees,employee_id,UUID,expression,"uuid_generate_v5('hr-emp'::uuid, em.EMP_ID)",,CHAR(8) → UUID v5 채번.
HR.M_EMPLOYEE,EMP_ID,CHAR(8),public.employees,emp_no,CHAR(8),expression,em.EMP_ID,,원본 사번 보존 (UNIQUE).
HR.M_EMPLOYEE,EMP_NM,VARCHAR2(60),public.employees,full_name,VARCHAR(120),expression,TRIM(em.EMP_NM),,길이 확장 + TRIM.
HR.M_EMPLOYEE,EMP_NM_KANA,VARCHAR2(120),public.employees,full_name_kana,VARCHAR(120),expression,em.EMP_NM_KANA,,passthrough.
HR.M_EMPLOYEE,HIRE_YMD,CHAR(8),public.employees,hire_date,DATE,expression,"TO_DATE(em.HIRE_YMD, 'YYYYMMDD')",,YYYYMMDD → DATE.
HR.M_EMPLOYEE,BIRTH_YMD,CHAR(8),public.employees,birth_date,DATE,expression,"TO_DATE(em.BIRTH_YMD, 'YYYYMMDD')",,nullable YYYYMMDD → DATE.
HR.M_EMPLOYEE,DEPT_CD,CHAR(4),public.employees,department_id,INTEGER,expression,(SELECT d.department_id FROM public.departments d WHERE d.department_code = em.DEPT_CD),,LOOKUP: DEPT_CD → department_id.
HR.M_EMPLOYEE,POSITION_CD,CHAR(3),public.employees,position_code,CHAR(3),expression,em.POSITION_CD,,passthrough.
HR.M_EMPLOYEE,GENDER_CD,CHAR(1),public.employees,gender,CHAR(1),expression,em.GENDER_CD,,passthrough.
HR.M_EMPLOYEE,EMAIL,VARCHAR2(64),public.employees,email,VARCHAR(255),expression,em.EMAIL,,길이 확장만.
HR.M_EMPLOYEE,SALARY,"NUMBER(11,2)",public.employees,salary,"NUMERIC(11,2)",expression,em.SALARY,,NUMBER → NUMERIC.
HR.M_EMPLOYEE,ENTRY_TS,CHAR(14),public.employees,created_at,TIMESTAMP,expression,"TO_TIMESTAMP(em.ENTRY_TS, 'YYYYMMDDHH24MISS')",,CHAR(14) → TIMESTAMP.
HR.M_EMPLOYEE,STATUS_CD,CHAR(1),public.employees,status,VARCHAR(16),expression,CASE em.STATUS_CD WHEN 'A' THEN 'active' WHEN 'R' THEN 'retired' WHEN 'L' THEN 'leave' END,,"값 매핑 (A→active, R→retired, L→leave)."
HR.M_EMPLOYEE,PHONE,VARCHAR2(20),public.employees,phone,VARCHAR(32),expression,em.PHONE,,길이 확장.
HR.M_EMPLOYEE,UPDATE_TS,CHAR(14),public.employees,updated_at,TIMESTAMP,expression,"TO_TIMESTAMP(em.UPDATE_TS, 'YYYYMMDDHH24MISS')",,
