asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,code_domain,default_value,notes
M_ACCOUNT,ACCOUNT_ID,NUMBER(10),account,account_id,BIGINT,,,1:1 PK
M_ACCOUNT,ACCOUNT_NO,VARCHAR2(20),account,account_number,VARCHAR(20),,,1:1
M_ACCOUNT,CUSTOMER_ID,NUMBER(10),account,customer_id,BIGINT,,,1:1 FK
M_ACCOUNT,BRANCH_ID,NUMBER(10),account,branch_id,BIGINT,,,1:1 FK
M_ACCOUNT,KOZA_KBN,VARCHAR2(4),account,account_type,VARCHAR(20),KOZA_TYPE,,Decompose 4桁 (1-2桁) → account_type via KOZA_TYPE
M_ACCOUNT,KOZA_KBN,VARCHAR2(4),account,member_tier,VARCHAR(10),KOZA_TIER,,Decompose 4桁 (3桁) → member_tier via KOZA_TIER
M_ACCOUNT,KOZA_KBN,VARCHAR2(4),account,permission_flag,CHAR(1),KOZA_PERMISSION,,Decompose 4桁 (4桁) → permission_flag via KOZA_PERMISSION
M_ACCOUNT,CURRENCY_CD,VARCHAR2(3),account,currency_code,VARCHAR(3),,,1:1
M_ACCOUNT,STATUS_CD,CHAR(1),account,status,VARCHAR(10),ACCOUNT_STATUS,,Code lookup
M_ACCOUNT,OPEN_DT,DATE,account,opened_at,DATE,,,1:1
M_ACCOUNT,CLOSE_DT,DATE,account,closed_at,DATE,,,1:1 nullable
M_ACCOUNT,ENTRY_TS,DATE,account,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
M_ACCOUNT,UPDATE_TS,DATE,account,updated_at,TIMESTAMP,,,1:1 nullable
R_ACCOUNT_PRODUCT,ACCOUNT_ID,NUMBER(10),account_product,account_id,BIGINT,,,1:1 composite PK
R_ACCOUNT_PRODUCT,PRODUCT_ID,NUMBER(10),account_product,product_id,BIGINT,,,1:1 composite PK
R_ACCOUNT_PRODUCT,START_DT,DATE,account_product,start_date,DATE,,,1:1
R_ACCOUNT_PRODUCT,END_DT,DATE,account_product,end_date,DATE,,,1:1 nullable
R_ACCOUNT_PRODUCT,QUANTITY,NUMBER(15;2),account_product,quantity,NUMERIC(18;4),,,Precision広め (NUMBER(15;2) → NUMERIC(18;4))
R_ACCOUNT_PRODUCT,AVG_COST,NUMBER(15;4),account_product,average_cost,NUMERIC(18;6),,,Precision 広め
R_ACCOUNT_PRODUCT,ENTRY_TS,DATE,account_product,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
R_ACCOUNT_PRODUCT,UPDATE_TS,DATE,account_product,updated_at,TIMESTAMP,,,1:1 nullable
