asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,code_domain,default_value,notes
M_BRANCH,BRANCH_ID,NUMBER(10),branch,branch_id,BIGINT,,,1:1 PK
M_BRANCH,SHITEN_CD,VARCHAR2(6),branch,branch_code,VARCHAR(8),,,1:1
M_BRANCH,SHITEN_NM,VARCHAR2(100),branch,name_kanji,VARCHAR(100),,,1:1
M_BRANCH,SHITEN_NM_KANA,VARCHAR2(200),branch,name_kana,VARCHAR(200),,,1:1
M_BRANCH,BRANCH_KBN,CHAR(2),branch,branch_kind,VARCHAR(20),BRANCH_KIND,,Code lookup
M_BRANCH,PARENT_BRANCH_ID,NUMBER(10),branch,parent_branch_id,BIGINT,,,1:1 self-ref FK
M_BRANCH,OPEN_DT,DATE,branch,opened_at,DATE,,,1:1
M_BRANCH,CLOSE_DT,DATE,branch,closed_at,DATE,,,1:1 nullable
M_BRANCH,ENTRY_TS,DATE,branch,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
M_BRANCH,UPDATE_TS,DATE,branch,updated_at,TIMESTAMP,,,1:1 nullable
M_BRANCH_CONTACT,PHONE,VARCHAR2(20),branch,phone,VARCHAR(20),,,"N:1 merge — JOIN ON BRANCH_ID"
M_BRANCH_CONTACT,FAX,VARCHAR2(20),branch,fax,VARCHAR(20),,,N:1 merge
M_BRANCH_CONTACT,EMAIL,VARCHAR2(128),branch,email,VARCHAR(128),,,N:1 merge
M_BRANCH_CONTACT,ADDR_ZIP,VARCHAR2(8),branch,zip,VARCHAR(8),,,N:1 merge
M_BRANCH_CONTACT,ADDR_LINE,VARCHAR2(500),branch,address_line,VARCHAR(500),,,N:1 merge — wide のままパススルー
M_BRANCH_CONTACT,OPENING_HOURS,VARCHAR2(100),branch,opening_hours,VARCHAR(100),,平日 9:00-17:00 / 土日祝休,"N:1 merge — NULL の場合 default 値を使用"
