asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,code_domain,default_value,notes
M_CODE_MASTER,DOMAIN_CD,VARCHAR2(30),code_dictionary,domain,VARCHAR(30),,,1:1 composite PK
M_CODE_MASTER,SOURCE_CD,VARCHAR2(20),code_dictionary,source_code,VARCHAR(20),,,1:1 composite PK
M_CODE_MASTER,TARGET_CD,VARCHAR2(20),code_dictionary,target_code,VARCHAR(20),,,1:1 nullable
M_CODE_MASTER,LABEL_JA,VARCHAR2(100),code_dictionary,label_ja,VARCHAR(100),,,1:1
M_CODE_MASTER,LABEL_EN,VARCHAR2(100),code_dictionary,label_en,VARCHAR(100),,,1:1 nullable
M_CODE_MASTER,SORT_NO,NUMBER(3),code_dictionary,sort_order,SMALLINT,,,1:1
M_CODE_MASTER,ACTIVE_FLG,CHAR(1),code_dictionary,active,BOOLEAN,,,"Type cast Y/N → true/false"
M_CODE_MASTER,ENTRY_TS,DATE,code_dictionary,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
M_CODE_MASTER,UPDATE_TS,DATE,code_dictionary,updated_at,TIMESTAMP,,,1:1 nullable
M_CURRENCY,CURRENCY_CD,VARCHAR2(3),currency,currency_code,VARCHAR(3),,,1:1 PK
M_CURRENCY,CURRENCY_NM_JA,VARCHAR2(50),currency,name_ja,VARCHAR(50),,,1:1
M_CURRENCY,CURRENCY_NM_EN,VARCHAR2(50),currency,name_en,VARCHAR(50),,,1:1
M_CURRENCY,DECIMAL_DIGITS,NUMBER(1),currency,decimal_digits,SMALLINT,,,1:1
M_CURRENCY,SYMBOL,VARCHAR2(8),currency,symbol,VARCHAR(8),,,1:1 nullable
