asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,code_domain,default_value,notes
M_EMPLOYEE,EMPLOYEE_ID,NUMBER(10),employee,employee_id,BIGINT,,,1:1 PK
M_EMPLOYEE,EMPLOYEE_CD,VARCHAR2(20),employee,employee_code,VARCHAR(20),,,1:1
M_EMPLOYEE,BRANCH_ID,NUMBER(10),employee,branch_id,BIGINT,,,1:1 FK
M_EMPLOYEE,MANAGER_ID,NUMBER(10),employee,manager_id,BIGINT,,,1:1 self-ref FK
M_EMPLOYEE,TANTO_CD,VARCHAR2(8),employee,department_code,VARCHAR(4),,,1:N split (1/3) — TANTO_CD 1-2桁 (SUBSTR(TANTO_CD,1,2))
M_EMPLOYEE,TANTO_CD,VARCHAR2(8),employee,position_code,VARCHAR(4),,,1:N split (2/3) — TANTO_CD 3-4桁 (SUBSTR(TANTO_CD,3,2))
M_EMPLOYEE,TANTO_CD,VARCHAR2(8),employee,permission_flag,CHAR(1),,,1:N split (3/3) — TANTO_CD 5桁 (SUBSTR(TANTO_CD,5,1))
M_EMPLOYEE,EMP_NM_FULL,VARCHAR2(100),employee,family_kanji,VARCHAR(50),,,"1:N split (1/2) — SPLIT_PART(EMP_NM_FULL,' ',1)"
M_EMPLOYEE,EMP_NM_FULL,VARCHAR2(100),employee,given_kanji,VARCHAR(50),,,"1:N split (2/2) — SPLIT_PART(EMP_NM_FULL,' ',2)"
M_EMPLOYEE,EMP_NM_KANA,VARCHAR2(200),employee,family_kana,VARCHAR(100),,,1:N split — 同上 (KANA 側)
M_EMPLOYEE,EMP_NM_KANA,VARCHAR2(200),employee,given_kana,VARCHAR(100),,,1:N split
M_EMPLOYEE,ROLE_CD,CHAR(2),employee,role_code,VARCHAR(20),EMPLOYEE_ROLE,,Code lookup
M_EMPLOYEE,JOIN_DT,DATE,employee,joined_at,DATE,,,1:1
M_EMPLOYEE,LEAVE_DT,DATE,employee,left_at,DATE,,,1:1 nullable
M_EMPLOYEE,ENTRY_TS,DATE,employee,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
M_EMPLOYEE,UPDATE_TS,DATE,employee,updated_at,TIMESTAMP,,,1:1 nullable
