asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,code_domain,default_value,notes
T_MARKET_QUOTE,QUOTE_DT,DATE,market_quote,quote_date,DATE,,,1:1 composite PK
T_MARKET_QUOTE,PRODUCT_ID,NUMBER(10),market_quote,product_id,BIGINT,,,1:1 composite PK
T_MARKET_QUOTE,OPEN_PRICE,NUMBER(15;4),market_quote,open_price,NUMERIC(18;6),,,1:1
T_MARKET_QUOTE,HIGH_PRICE,NUMBER(15;4),market_quote,high_price,NUMERIC(18;6),,,1:1
T_MARKET_QUOTE,LOW_PRICE,NUMBER(15;4),market_quote,low_price,NUMERIC(18;6),,,1:1
T_MARKET_QUOTE,CLOSE_PRICE,NUMBER(15;4),market_quote,close_price,NUMERIC(18;6),,,1:1
T_MARKET_QUOTE,VOLUME,NUMBER(18;2),market_quote,volume,NUMERIC(20;4),,,1:1
T_MARKET_QUOTE,VWAP,NUMBER(15;4),market_quote,vwap,NUMERIC(18;6),,,1:1
T_MARKET_QUOTE,SOURCE_CD,VARCHAR2(8),market_quote,source,VARCHAR(8),MARKET_SOURCE,,Pass-through but code domain registered
T_MARKET_QUOTE,ENTRY_TS,DATE,market_quote,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
