asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,code_domain,default_value,notes
M_PRODUCT,PRODUCT_ID,NUMBER(10),product,product_id,BIGINT,,,1:1 PK
M_PRODUCT,PRODUCT_CD,VARCHAR2(20),product,product_code,VARCHAR(20),,,1:1
M_PRODUCT,PRODUCT_NM,VARCHAR2(100),product,name_kanji,VARCHAR(100),,,1:1
M_PRODUCT,PRODUCT_NM_KANA,VARCHAR2(200),product,name_kana,VARCHAR(200),,,1:1
M_PRODUCT,PRODUCT_KIND_CD,VARCHAR2(2),product,product_kind,VARCHAR(20),PRODUCT_KIND,,Code lookup: 10→EQUITY / 20→FUND / 30→BOND / 40→FX_MMF
M_PRODUCT,CURRENCY_CD,VARCHAR2(3),product,currency_code,VARCHAR(3),,,1:1 (ISO 4217)
M_PRODUCT,LISTING_DT,DATE,product,listing_date,DATE,,,1:1
M_PRODUCT,DELISTING_DT,DATE,product,delisting_date,DATE,,,1:1 nullable
M_PRODUCT,ENTRY_TS,DATE,product,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
M_PRODUCT,UPDATE_TS,DATE,product,updated_at,TIMESTAMP,,,1:1 nullable
M_PRODUCT_HIST,HIST_ID,NUMBER(10),product_history,history_id,BIGINT,,,1:1 PK
M_PRODUCT_HIST,PRODUCT_ID,NUMBER(10),product_history,product_id,BIGINT,,,1:1 FK
M_PRODUCT_HIST,CHANGE_DT,DATE,product_history,change_date,DATE,,,1:1
M_PRODUCT_HIST,CHANGE_TYPE_CD,CHAR(1),product_history,change_type,VARCHAR(10),,,"Code lookup: I→INSERT / U→UPDATE / D→DELETE"
M_PRODUCT_HIST,OLD_VALUES,CLOB,product_history,old_snapshot,JSONB,,,"Type cast: CLOB JSON-like → JSONB (PG side で TO_JSONB(VARCHAR_TO_JSON(...)))"
M_PRODUCT_HIST,NEW_VALUES,CLOB,product_history,new_snapshot,JSONB,,,Type cast: 同上
M_PRODUCT_HIST,CHANGED_BY,VARCHAR2(20),product_history,changed_by,VARCHAR(40),,,1:1
