asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,code_domain,default_value,notes
T_SETTLEMENT,SETTLEMENT_ID,NUMBER(15),settlement,settlement_id,BIGINT,,,1:1 PK
T_SETTLEMENT,SETTLEMENT_DT,DATE,settlement,settlement_date,DATE,,,1:1
T_SETTLEMENT,ACCOUNT_ID,NUMBER(10),settlement,account_id,BIGINT,,,1:1 FK
T_SETTLEMENT,TRADE_ID,NUMBER(15),trade_settlement_link,settlement_id,BIGINT,,,"FK 関係は trade_settlement_link 経由 (1:N 部分決済対応)"
T_SETTLEMENT,GROSS_AMT,NUMBER(18;2),settlement,gross_amount,NUMERIC(20;2),,,1:1
T_SETTLEMENT,FEE_AMT,NUMBER(15;2),settlement,fee_amount,NUMERIC(18;2),,,1:1
T_SETTLEMENT,TAX_AMT,NUMBER(15;2),settlement,tax_amount,NUMERIC(18;2),,,1:1
T_SETTLEMENT,NET_AMT,NUMBER(18;2),settlement,net_amount,NUMERIC(20;2),,,1:1
T_SETTLEMENT,CURRENCY_CD,VARCHAR2(3),settlement,currency_code,VARCHAR(3),,,1:1
T_SETTLEMENT,STATUS_CD,CHAR(1),settlement,status,VARCHAR(10),SETTLEMENT_STATUS,,Code lookup
T_SETTLEMENT,CONFIRMED_DT,DATE,settlement,confirmed_at,DATE,,,1:1 nullable
T_SETTLEMENT,ENTRY_TS,DATE,settlement,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
T_SETTLEMENT,UPDATE_TS,DATE,settlement,updated_at,TIMESTAMP,,,1:1 nullable
