asis_table,asis_column,asis_type,tobe_table,tobe_column,tobe_type,code_domain,default_value,notes
M_PRODUCT,PRODUCT_KIND_CD,VARCHAR2(2),product,product_kind,VARCHAR(20),PRODUCT_KIND,,Code lookup
T_TRADE,TRADE_ID,NUMBER(15),trade,trade_id,BIGINT,,,1:1 PK
T_TRADE,TRADE_NO,VARCHAR2(30),trade,trade_number,VARCHAR(30),,,1:1
T_TRADE,TRADE_DT,DATE,trade,trade_date,DATE,,,1:1
T_TRADE,ACCOUNT_ID,NUMBER(10),trade,account_id,BIGINT,,,1:1 FK
T_TRADE,PRODUCT_ID,NUMBER(10),trade,product_id,BIGINT,,,1:1 FK
T_TRADE,TORIHIKI_KBN,CHAR(1),trade,trade_type,VARCHAR(10),TRADE_TYPE,,Code lookup: 1→BUY / 2→SELL / 3→TRANSFER
T_TRADE,QUANTITY,NUMBER(15;2),trade,quantity,NUMERIC(18;4),,,Precision 広め
T_TRADE,UNIT_PRICE,NUMBER(15;4),trade,unit_price,NUMERIC(18;6),,,Precision 広め
T_TRADE,GROSS_AMT,NUMBER(18;2),trade,gross_amount,NUMERIC(20;2),,,1:1
T_TRADE,NET_AMT,NUMBER(18;2),trade,net_amount,NUMERIC(20;2),,,1:1
T_TRADE,MEMO,VARCHAR2(500),trade,memo,TEXT,,,1:1 nullable
T_TRADE,ENTRY_TS,DATE,trade,created_at,TIMESTAMP,,,Oracle DATE → PG TIMESTAMP
T_TRADE,UPDATE_TS,DATE,trade,updated_at,TIMESTAMP,,,1:1 nullable
T_TRADE,TRADE_ID,NUMBER(15),trade_fee,trade_id,BIGINT,,,"1:N table split (1/3) — fee row 生成"
T_TRADE,FEE_AMT,NUMBER(15;2),trade_fee,amount,NUMERIC(18;2),,,"1:N split — fee_kind='BROKER_FEE' で row 化"
T_TRADE,TAX_AMT,NUMBER(15;2),trade_fee,amount,NUMERIC(18;2),,,"1:N split — fee_kind='TAX' で row 化 (FEE_AMT 行とは別 row)"
T_TRADE,TRADE_ID,NUMBER(15),trade_settlement_link,trade_id,BIGINT,,,1:N table split (2/3) — link row 生成
T_TRADE,SETTLEMENT_ID,NUMBER(15),trade_settlement_link,settlement_id,BIGINT,,,wide → narrow
T_TRADE,SETTLEMENT_DT,DATE,trade_settlement_link,settled_at,DATE,,,wide → narrow
T_TRADE,NET_AMT,NUMBER(18;2),trade_settlement_link,settled_amount,NUMERIC(20;2),,,wide → narrow
T_TRADE,SETTLEMENT_STATUS_CD,CHAR(1),trade_settlement_link,status,VARCHAR(10),SETTLEMENT_STATUS,,Code lookup
T_TRADE_DETAIL,TRADE_ID,NUMBER(15),trade_fee,trade_id,BIGINT,,,"N:1 merge — T_TRADE_DETAIL も trade_fee に統合"
T_TRADE_DETAIL,DETAIL_KBN,CHAR(1),trade_fee,fee_kind,VARCHAR(20),FEE_KIND,,"Code lookup: D→DIVIDEND / I→INTEREST / X→OTHER"
T_TRADE_DETAIL,AMOUNT,NUMBER(15;2),trade_fee,amount,NUMERIC(18;2),,,1:1
T_TRADE_DETAIL,DESCRIPTION,VARCHAR2(500),trade_fee,description,VARCHAR(500),,,1:1
T_TRADE_LOG,LOG_ID,NUMBER(15),trade_audit,audit_id,BIGINT,,,1:1 PK
T_TRADE_LOG,TRADE_ID,NUMBER(15),trade_audit,trade_id,BIGINT,,,1:1 FK
T_TRADE_LOG,EVENT_KBN,VARCHAR2(2),trade_audit,event_type,VARCHAR(20),,,"Code lookup: CR→CREATE / UP→UPDATE / CN→CANCEL / SE→SETTLE"
T_TRADE_LOG,EVENT_TS,TIMESTAMP,trade_audit,event_at,TIMESTAMP,,,1:1
T_TRADE_LOG,ACTOR_CD,VARCHAR2(20),trade_audit,actor_code,VARCHAR(40),,,1:1
T_TRADE_LOG,PAYLOAD,CLOB,trade_audit,payload,JSONB,,,"Type cast: CLOB → JSONB"
