ACCOUNT_ID,PRODUCT_ID,HOLDING_QTY,START_DT,END_DT,ENTRY_TS
371,56,59.4859,2021-01-05,,2021-01-05 11:21:16
236,47,13.8001,2023-03-20,2025-01-25,2023-03-20 03:01:48
264,28,715.3703,2021-02-21,2023-03-28,2021-02-21 09:21:00
71,15,696.7089,2021-01-26,,2021-01-26 15:43:04
176,44,380.9091,2021-01-26,,2021-01-26 17:40:05
145,15,146.5612,2021-01-20,2021-06-23,2021-01-20 10:32:38
31,45,352.4177,2023-08-09,,2023-08-09 05:00:51
68,48,380.8415,2022-11-06,,2022-11-06 02:32:00
260,27,677.888,2021-11-16,,2021-11-16 19:51:35
353,8,823.7799,2022-08-03,,2022-08-03 14:19:59
234,25,329.7924,2021-03-16,,2021-03-16 22:21:08
201,10,255.7072,2021-11-14,,2021-11-14 13:17:45
305,10,941.8664,2023-08-25,2025-06-18,2023-08-25 15:55:11
16,29,163.1224,2023-07-19,,2023-07-19 23:09:03
95,26,465.6137,2021-05-05,,2021-05-05 08:35:16
357,52,949.2119,2022-03-24,,2022-03-24 19:40:36
158,50,150.7563,2021-08-17,,2021-08-17 14:23:22
87,60,817.3312,2023-04-25,,2023-04-25 06:18:30
72,47,90.0653,2023-08-15,,2023-08-15 14:46:49
317,3,498.9624,2021-11-26,,2021-11-26 12:57:24
339,30,226.5562,2023-08-17,,2023-08-17 14:28:31
31,49,871.9982,2023-07-12,,2023-07-12 01:00:01
330,3,523.1986,2022-10-06,,2022-10-06 16:37:41
295,60,801.3621,2023-03-27,,2023-03-27 11:03:28
74,49,614.3683,2023-03-26,2025-06-16,2023-03-26 09:14:49
195,12,391.1797,2023-04-26,,2023-04-26 19:17:31
181,34,170.2135,2022-01-15,,2022-01-15 19:54:24
186,2,243.4608,2023-03-27,2025-04-17,2023-03-27 05:22:16
279,59,552.8256,2021-09-02,,2021-09-02 22:13:08
239,45,575.5423,2022-08-16,,2022-08-16 14:02:38
28,30,590.1304,2021-11-14,,2021-11-14 04:59:01
213,59,421.7403,2023-04-29,2023-11-08,2023-04-29 23:28:19
21,18,569.6513,2022-10-24,,2022-10-24 01:27:17
251,17,452.8927,2021-07-07,,2021-07-07 06:16:47
327,5,515.6733,2023-03-03,,2023-03-03 07:28:53
322,31,517.6659,2021-04-16,,2021-04-16 12:24:31
242,58,662.9585,2022-06-19,,2022-06-19 22:13:08
267,16,591.3056,2023-06-05,,2023-06-05 18:03:59
