QUOTE_ID,PRODUCT_ID,QUOTE_TS,BID_PRICE,ASK_PRICE,VOLUME,SOURCE_CD,PAYLOAD_JSON
1,42,2024-09-05 12:56:37,7569.1695,7573.1682,677160,EXCHANGE,"{""bid"": 7569.1695, ""ask"": 7573.1682, ""volume"": 677160, ""spread"": 3.9987}"
2,17,2024-10-14 16:47:54,33478.6486,33481.3371,851672,EXCHANGE,"{""bid"": 33478.6486, ""ask"": 33481.3371, ""volume"": 851672, ""spread"": 2.6885}"
3,17,2024-06-05 19:08:55,35727.8305,35730.0492,476673,EXCHANGE,"{""bid"": 35727.8305, ""ask"": 35730.0492, ""volume"": 476673, ""spread"": 2.2187}"
4,3,2024-11-24 11:13:05,38613.4021,38616.0789,535178,EXCHANGE,"{""bid"": 38613.4021, ""ask"": 38616.0789, ""volume"": 535178, ""spread"": 2.6768}"
5,29,2024-02-02 00:15:12,40835.9587,40836.9944,733472,OTC,"{""bid"": 40835.9587, ""ask"": 40836.9944, ""volume"": 733472, ""spread"": 1.0357}"
6,55,2024-03-08 22:11:40,35162.1804,35165.3391,239059,OTC,"{""bid"": 35162.1804, ""ask"": 35165.3391, ""volume"": 239059, ""spread"": 3.1587}"
7,54,2024-08-11 02:27:22,13551.4394,13551.9876,546874,EXCHANGE,"{""bid"": 13551.4394, ""ask"": 13551.9876, ""volume"": 546874, ""spread"": 0.5482}"
8,26,2024-05-01 14:03:31,38896.0685,38899.897,691330,EXCHANGE,"{""bid"": 38896.0685, ""ask"": 38899.897, ""volume"": 691330, ""spread"": 3.8285}"
9,23,2024-12-10 23:12:55,4682.2168,4685.2811,266484,OTC,"{""bid"": 4682.2168, ""ask"": 4685.2811, ""volume"": 266484, ""spread"": 3.0643}"
10,43,2024-04-07 11:40:59,7741.0711,7741.8468,956958,OTC,"{""bid"": 7741.0711, ""ask"": 7741.8468, ""volume"": 956958, ""spread"": 0.7757}"
11,54,2024-01-07 03:06:10,47119.3551,47121.2391,772061,EXCHANGE,"{""bid"": 47119.3551, ""ask"": 47121.2391, ""volume"": 772061, ""spread"": 1.884}"
12,37,2024-02-27 23:34:02,31930.8697,31933.5696,272739,EXCHANGE,"{""bid"": 31930.8697, ""ask"": 31933.5696, ""volume"": 272739, ""spread"": 2.6999}"
13,43,2024-01-19 19:35:16,38686.1103,38687.4353,7942,OTC,"{""bid"": 38686.1103, ""ask"": 38687.4353, ""volume"": 7942, ""spread"": 1.325}"
14,11,2024-09-16 04:45:34,30697.0576,30698.7779,937307,EXCHANGE,"{""bid"": 30697.0576, ""ask"": 30698.7779, ""volume"": 937307, ""spread"": 1.7203}"
15,33,2024-04-23 20:12:59,16359.3415,16362.3465,102768,EXCHANGE,"{""bid"": 16359.3415, ""ask"": 16362.3465, ""volume"": 102768, ""spread"": 3.005}"
16,6,2024-01-07 12:43:17,41697.9112,41698.7448,349930,OTC,"{""bid"": 41697.9112, ""ask"": 41698.7448, ""volume"": 349930, ""spread"": 0.8336}"
17,38,2024-01-29 20:22:28,614.0413,618.8638,813684,EXCHANGE,"{""bid"": 614.0413, ""ask"": 618.8638, ""volume"": 813684, ""spread"": 4.8225}"
18,5,2024-09-05 11:16:26,9493.5387,9496.846,621202,EXCHANGE,"{""bid"": 9493.5387, ""ask"": 9496.846, ""volume"": 621202, ""spread"": 3.3073}"
19,9,2024-06-07 07:09:01,8439.7676,8444.6882,260258,EXCHANGE,"{""bid"": 8439.7676, ""ask"": 8444.6882, ""volume"": 260258, ""spread"": 4.9206}"
20,51,2024-08-02 06:25:37,46385.2218,46386.2376,695489,EXCHANGE,"{""bid"": 46385.2218, ""ask"": 46386.2376, ""volume"": 695489, ""spread"": 1.0158}"
21,27,2024-08-31 20:21:38,20487.5571,20491.2988,15420,EXCHANGE,"{""bid"": 20487.5571, ""ask"": 20491.2988, ""volume"": 15420, ""spread"": 3.7417}"
22,58,2024-01-02 07:24:20,19315.9451,19320.5934,708677,EXCHANGE,"{""bid"": 19315.9451, ""ask"": 19320.5934, ""volume"": 708677, ""spread"": 4.6483}"
23,59,2024-10-03 22:40:27,46750.0787,46752.0047,234082,EXCHANGE,"{""bid"": 46750.0787, ""ask"": 46752.0047, ""volume"": 234082, ""spread"": 1.926}"
24,22,2024-05-17 22:04:28,31313.6973,31317.3958,72036,EXCHANGE,"{""bid"": 31313.6973, ""ask"": 31317.3958, ""volume"": 72036, ""spread"": 3.6985}"
25,15,2024-05-14 09:53:12,7427.1692,7430.2433,817203,EXCHANGE,"{""bid"": 7427.1692, ""ask"": 7430.2433, ""volume"": 817203, ""spread"": 3.0741}"
26,57,2024-08-01 06:03:52,8577.5942,8580.5363,931158,EXCHANGE,"{""bid"": 8577.5942, ""ask"": 8580.5363, ""volume"": 931158, ""spread"": 2.9421}"
27,6,2024-02-29 13:21:11,21121.252,21122.5779,367735,OTC,"{""bid"": 21121.252, ""ask"": 21122.5779, ""volume"": 367735, ""spread"": 1.3259}"
28,15,2024-11-03 04:51:08,34275.8946,34277.5598,61482,EXCHANGE,"{""bid"": 34275.8946, ""ask"": 34277.5598, ""volume"": 61482, ""spread"": 1.6652}"
29,27,2024-08-17 11:06:52,2940.5641,2944.2003,563855,OTC,"{""bid"": 2940.5641, ""ask"": 2944.2003, ""volume"": 563855, ""spread"": 3.6362}"
30,14,2024-05-12 17:19:44,11047.6197,11051.7368,378471,EXCHANGE,"{""bid"": 11047.6197, ""ask"": 11051.7368, ""volume"": 378471, ""spread"": 4.1171}"
31,53,2024-12-11 22:18:42,20721.8615,20722.3387,897626,EXCHANGE,"{""bid"": 20721.8615, ""ask"": 20722.3387, ""volume"": 897626, ""spread"": 0.4772}"
32,2,2024-09-03 18:06:30,504.306,504.6934,640876,EXCHANGE,"{""bid"": 504.306, ""ask"": 504.6934, ""volume"": 640876, ""spread"": 0.3874}"
33,6,2024-12-16 22:11:00,46162.0441,46162.9286,883634,EXCHANGE,"{""bid"": 46162.0441, ""ask"": 46162.9286, ""volume"": 883634, ""spread"": 0.8845}"
