TRADE_ID,ACCOUNT_ID,PRODUCT_ID,TRADE_TYPE_CD,TRADE_QTY,TRADE_PRICE,TRADE_DT,ENTRY_TS
1,278,51,S,4305,23576.8806,2023-05-24,2023-05-24 17:24:27
2,247,17,S,3808,10782.224,2023-03-02,2023-03-02 08:32:03
3,100,56,B,1935,18936.3244,2024-01-02,2024-01-02 16:54:12
4,316,18,B,1134,977.0132,2024-07-16,2024-07-16 12:39:45
5,139,22,B,3482,13549.412,2023-01-22,2023-01-22 11:58:52
6,118,50,S,2640,33714.0738,2023-09-22,2023-09-22 09:06:24
7,33,59,B,2120,21419.7968,2023-09-04,2023-09-04 16:57:53
8,150,28,S,4806,22694.2268,2023-02-25,2023-02-25 15:11:15
9,367,14,B,1860,19033.4161,2024-08-01,2024-08-01 08:51:58
10,228,29,B,3244,45045.0731,2023-12-14,2023-12-14 14:03:03
11,285,22,S,794,39081.9491,2024-03-29,2024-03-29 14:18:59
12,126,30,S,160,15920.0159,2024-01-24,2024-01-24 15:40:53
13,155,43,B,3610,43970.1665,2023-05-31,2023-05-31 09:49:19
14,143,22,B,4382,42268.2818,2024-05-16,2024-05-16 15:30:51
15,192,34,B,4654,31799.2325,2023-05-24,2023-05-24 15:07:31
16,29,19,B,1463,10154.7534,2023-03-30,2023-03-30 16:13:00
17,288,4,S,1940,17265.4204,2023-06-02,2023-06-02 15:46:49
18,85,39,B,4600,26748.1507,2024-02-01,2024-02-01 16:26:21
19,96,48,B,1875,1725.6161,2024-09-02,2024-09-02 08:44:05
20,236,22,S,573,6379.558,2023-07-20,2023-07-20 11:50:13
21,153,20,S,1154,29372.586,2023-08-12,2023-08-12 11:21:55
22,83,6,B,1686,22206.353,2023-02-27,2023-02-27 14:10:21
23,131,34,B,46,583.8455,2023-03-20,2023-03-20 17:02:49
24,297,41,B,3948,33769.4933,2024-08-03,2024-08-03 12:39:08
25,36,40,B,2498,31401.2153,2023-02-12,2023-02-12 11:05:45
26,221,27,S,1858,5355.7651,2024-04-28,2024-04-28 15:54:18
27,316,16,B,1537,38413.9972,2023-03-17,2023-03-17 17:44:57
28,126,37,S,1017,2881.5739,2024-05-13,2024-05-13 10:35:58
29,238,52,S,463,11224.0328,2023-07-20,2023-07-20 12:32:07
30,32,8,B,2468,30068.1946,2023-05-01,2023-05-01 15:32:31
31,58,23,B,2756,14142.8366,2023-03-02,2023-03-02 08:56:01
32,132,41,B,1938,26158.5373,2024-10-06,2024-10-06 09:32:48
33,134,14,B,1380,23891.6373,2023-10-09,2023-10-09 13:57:53
34,320,56,B,1410,42299.6215,2023-05-18,2023-05-18 14:47:14
35,13,29,B,4228,19004.8689,2024-04-19,2024-04-19 12:27:21
36,135,6,B,4350,47928.5605,2023-06-19,2023-06-19 09:57:42
37,39,22,B,3095,21721.6275,2023-01-15,2023-01-15 09:08:00
38,371,53,B,772,6532.8886,2023-12-16,2023-12-16 15:02:36
39,308,50,B,3420,43752.2717,2023-07-25,2023-07-25 13:43:44
40,72,22,S,2480,18577.8485,2024-04-15,2024-04-15 11:23:06
41,142,34,B,3571,25218.8496,2024-10-15,2024-10-15 11:48:41
42,355,59,B,3882,28846.0365,2023-11-27,2023-11-27 15:46:20
43,74,16,S,2735,7220.8842,2024-04-14,2024-04-14 17:55:54
44,308,58,S,4196,14125.8911,2023-09-24,2023-09-24 16:53:37
45,136,51,S,3198,14434.398,2023-12-31,2023-12-31 13:11:09
46,203,23,B,2028,37467.2379,2024-04-18,2024-04-18 09:22:49
47,207,44,B,3948,43712.8575,2024-11-19,2024-11-19 08:32:19
48,180,11,B,4078,24806.001,2023-03-18,2023-03-18 17:53:40
49,144,54,S,2350,6033.2967,2024-03-07,2024-03-07 10:15:42
50,377,56,B,1233,5794.234,2023-07-04,2023-07-04 15:43:04
51,64,17,B,821,42150.1275,2024-10-22,2024-10-22 14:57:29
