ACCOUNT_ID,PRODUCT_ID,HOLDING_QTY,START_DT,END_DT,ENTRY_TS
18,33,22.8039,2021-02-16,,2021-02-16 11:23:42
91,11,809.4322,2021-12-15,,2021-12-15 08:15:56
78,2,580.1218,2023-08-05,,2023-08-05 22:49:00
48,21,764.7232,2021-05-22,,2021-05-22 14:13:23
129,3,793.9848,2023-06-03,2023-08-19,2023-06-03 05:15:16
168,15,743.9283,2023-09-17,,2023-09-17 18:25:34
41,36,64.7871,2021-01-29,,2021-01-29 22:43:39
23,12,183.9379,2021-08-29,,2021-08-29 22:55:06
158,6,926.6528,2022-06-16,2024-08-21,2022-06-16 00:26:07
125,23,494.0798,2023-02-01,,2023-02-01 09:49:03
48,14,542.3177,2022-02-06,,2022-02-06 17:15:33
162,22,482.0647,2022-04-23,,2022-04-23 15:09:42
36,15,861.2242,2022-04-22,,2022-04-22 11:55:41
78,38,944.4455,2023-03-16,2025-09-13,2023-03-16 07:49:19
16,24,894.0699,2021-06-28,2023-03-20,2021-06-28 01:10:20
10,36,758.6504,2022-08-26,,2022-08-26 14:44:13
32,12,364.1671,2021-04-02,,2021-04-02 10:00:43
47,10,889.6389,2021-06-14,2023-10-17,2021-06-14 08:06:00
8,10,517.4525,2021-11-04,,2021-11-04 23:37:29
58,22,36.3628,2021-10-01,2023-02-25,2021-10-01 23:31:35
69,32,116.3038,2023-04-21,,2023-04-21 20:13:34
126,24,939.3662,2022-11-08,2023-02-13,2022-11-08 23:22:48
43,38,255.743,2022-10-17,,2022-10-17 02:30:46
10,21,315.6411,2021-11-22,,2021-11-22 20:39:28
40,5,830.763,2021-09-06,,2021-09-06 15:27:25
110,26,924.4238,2022-04-07,,2022-04-07 11:11:34
135,12,752.4322,2021-12-28,,2021-12-28 22:29:52
33,22,493.7541,2023-06-14,2023-08-07,2023-06-14 17:18:48
124,26,106.1007,2023-03-09,,2023-03-09 15:33:24
19,6,359.8506,2021-05-20,,2021-05-20 12:34:27
153,11,192.6616,2021-02-20,,2021-02-20 17:03:04
178,29,215.3347,2023-02-17,,2023-02-17 02:36:35
142,25,160.1663,2022-01-02,,2022-01-02 21:04:44
159,10,588.8337,2022-03-16,,2022-03-16 22:12:01
107,31,410.7155,2023-01-07,,2023-01-07 04:53:30
27,38,886.1204,2023-01-20,,2023-01-20 21:58:17
97,30,219.8511,2023-01-02,,2023-01-02 22:31:43
149,3,813.0903,2021-05-04,,2021-05-04 08:17:31
98,40,530.1675,2023-04-04,,2023-04-04 03:25:13
14,19,58.436,2021-02-28,2023-11-08,2021-02-28 11:51:52
40,17,691.2754,2022-03-29,,2022-03-29 00:46:03
164,30,344.1385,2022-11-06,,2022-11-06 00:59:14
58,35,309.2198,2023-03-03,2023-09-03,2023-03-03 06:03:45
150,34,586.497,2021-11-13,2023-04-19,2021-11-13 12:31:23
120,27,244.0718,2022-07-02,,2022-07-02 20:15:58
126,27,632.0439,2021-08-30,,2021-08-30 15:20:04
157,31,27.7877,2022-03-04,2023-06-04,2022-03-04 19:16:25
46,29,75.0611,2022-02-21,,2022-02-21 12:42:32
83,30,747.7559,2022-04-17,,2022-04-17 17:43:14
129,24,319.4399,2023-08-10,,2023-08-10 18:03:51
177,1,729.2225,2022-10-29,,2022-10-29 13:06:49
40,33,989.9214,2021-08-05,,2021-08-05 18:46:55
6,34,78.6036,2021-01-05,2021-10-10,2021-01-05 17:55:14
165,38,70.7544,2021-07-14,,2021-07-14 12:23:38
162,40,819.3051,2023-04-11,,2023-04-11 06:51:41
96,16,493.3637,2022-11-13,,2022-11-13 08:49:18
90,31,17.7733,2021-02-01,2021-07-17,2021-02-01 18:04:06
129,9,497.8123,2022-03-25,,2022-03-25 08:17:59
83,8,551.7881,2022-05-28,2023-05-01,2022-05-28 17:26:41
132,11,213.082,2021-11-16,,2021-11-16 01:38:31
118,29,324.0613,2021-03-18,,2021-03-18 05:06:37
73,25,458.8594,2021-04-26,2022-03-09,2021-04-26 01:15:52
76,11,885.6811,2022-10-31,2023-04-03,2022-10-31 11:03:59
84,37,9.006,2022-04-23,,2022-04-23 01:47:17
65,11,67.0778,2022-08-12,,2022-08-12 12:04:19
