QUOTE_ID,PRODUCT_ID,QUOTE_TS,BID_PRICE,ASK_PRICE,VOLUME,SOURCE_CD,PAYLOAD_JSON
1,6,2024-04-17 03:19:27,42583.283,42586.6151,798228,EXCHANGE,"{""bid"": 42583.283, ""ask"": 42586.6151, ""volume"": 798228, ""spread"": 3.3321}"
2,7,2024-05-05 08:50:40,5244.5759,5245.9656,711305,EXCHANGE,"{""bid"": 5244.5759, ""ask"": 5245.9656, ""volume"": 711305, ""spread"": 1.3897}"
3,18,2024-11-28 22:50:23,36391.2652,36394.4729,393322,EXCHANGE,"{""bid"": 36391.2652, ""ask"": 36394.4729, ""volume"": 393322, ""spread"": 3.2077}"
4,38,2024-07-14 09:31:06,24662.8091,24665.1084,164574,EXCHANGE,"{""bid"": 24662.8091, ""ask"": 24665.1084, ""volume"": 164574, ""spread"": 2.2993}"
5,1,2025-01-18 11:18:17,13938.5268,13939.7471,531926,OTC,"{""bid"": 13938.5268, ""ask"": 13939.7471, ""volume"": 531926, ""spread"": 1.2203}"
6,31,2024-11-13 15:50:48,2216.7482,2217.3125,383192,EXCHANGE,"{""bid"": 2216.7482, ""ask"": 2217.3125, ""volume"": 383192, ""spread"": 0.5643}"
7,10,2024-08-11 15:19:28,30348.5996,30351.2897,856005,OTC,"{""bid"": 30348.5996, ""ask"": 30351.2897, ""volume"": 856005, ""spread"": 2.6901}"
8,32,2024-05-14 20:28:35,421.3667,423.7891,545423,OTC,"{""bid"": 421.3667, ""ask"": 423.7891, ""volume"": 545423, ""spread"": 2.4224}"
9,7,2024-10-26 15:28:47,31287.648,31287.9565,895097,EXCHANGE,"{""bid"": 31287.648, ""ask"": 31287.9565, ""volume"": 895097, ""spread"": 0.3085}"
10,4,2024-09-21 00:58:41,43618.6267,43622.8119,998827,EXCHANGE,"{""bid"": 43618.6267, ""ask"": 43622.8119, ""volume"": 998827, ""spread"": 4.1852}"
11,15,2024-05-06 22:04:18,5221.581,5223.2582,601411,EXCHANGE,"{""bid"": 5221.581, ""ask"": 5223.2582, ""volume"": 601411, ""spread"": 1.6772}"
12,40,2024-07-08 02:56:17,30014.0706,30014.6705,791854,EXCHANGE,"{""bid"": 30014.0706, ""ask"": 30014.6705, ""volume"": 791854, ""spread"": 0.5999}"
13,14,2024-08-01 07:59:25,29979.4226,29982.7652,676881,EXCHANGE,"{""bid"": 29979.4226, ""ask"": 29982.7652, ""volume"": 676881, ""spread"": 3.3426}"
14,9,2024-04-14 09:02:05,28577.4646,28581.561,276028,EXCHANGE,"{""bid"": 28577.4646, ""ask"": 28581.561, ""volume"": 276028, ""spread"": 4.0964}"
15,18,2024-09-22 01:02:15,15967.7889,15971.8256,979374,EXCHANGE,"{""bid"": 15967.7889, ""ask"": 15971.8256, ""volume"": 979374, ""spread"": 4.0367}"
16,23,2024-02-14 06:16:59,5830.3941,5835.2339,563985,EXCHANGE,"{""bid"": 5830.3941, ""ask"": 5835.2339, ""volume"": 563985, ""spread"": 4.8398}"
17,16,2025-01-26 01:26:55,43785.5342,43786.7982,558772,OTC,"{""bid"": 43785.5342, ""ask"": 43786.7982, ""volume"": 558772, ""spread"": 1.264}"
18,11,2024-12-03 15:46:10,23731.0805,23731.7187,549777,EXCHANGE,"{""bid"": 23731.0805, ""ask"": 23731.7187, ""volume"": 549777, ""spread"": 0.6382}"
19,31,2024-08-28 19:08:36,13082.7606,13084.7371,737055,EXCHANGE,"{""bid"": 13082.7606, ""ask"": 13084.7371, ""volume"": 737055, ""spread"": 1.9765}"
20,29,2024-08-20 13:47:32,34610.3764,34613.8256,254719,EXCHANGE,"{""bid"": 34610.3764, ""ask"": 34613.8256, ""volume"": 254719, ""spread"": 3.4492}"
21,8,2025-01-03 07:23:54,2054.1488,2058.694,274741,EXCHANGE,"{""bid"": 2054.1488, ""ask"": 2058.694, ""volume"": 274741, ""spread"": 4.5452}"
22,38,2024-04-25 05:12:04,40017.7759,40019.8418,465147,OTC,"{""bid"": 40017.7759, ""ask"": 40019.8418, ""volume"": 465147, ""spread"": 2.0659}"
