account_id,product_id,holding_qty,start_date,end_date,created_at
300,55,733.3181,2023-03-02,,2023-03-02 07:13:03
306,44,43.2535,2023-05-02,,2023-05-02 02:22:46
365,25,119.4168,2022-09-30,,2022-09-30 09:15:05
89,4,804.3501,2021-02-06,2022-06-18,2021-02-06 19:19:17
270,28,738.8758,2023-08-09,,2023-08-09 23:59:43
275,10,203.0278,2021-10-27,,2021-10-27 06:20:09
70,3,600.5889,2022-08-05,2023-06-28,2022-08-05 11:16:41
239,22,474.4268,2022-09-03,,2022-09-03 13:53:06
239,30,879.6721,2023-04-18,2025-02-01,2023-04-18 19:40:59
358,51,556.4646,2022-04-09,,2022-04-09 12:26:12
316,55,618.5518,2023-04-13,,2023-04-13 15:05:25
7,35,501.5077,2021-08-22,,2021-08-22 03:24:02
14,48,75.2497,2021-07-19,,2021-07-19 13:41:57
230,30,389.4437,2021-09-05,,2021-09-05 04:11:59
264,48,304.7132,2022-05-28,,2022-05-28 18:55:46
254,20,870.4332,2021-03-26,,2021-03-26 21:04:35
80,21,375.9492,2023-06-20,2026-01-29,2023-06-20 08:55:44
297,5,804.5642,2021-08-13,,2021-08-13 04:40:31
149,33,575.9681,2023-07-04,2024-09-27,2023-07-04 04:08:05
257,4,658.0042,2021-10-03,,2021-10-03 04:58:47
259,11,389.9558,2022-01-27,,2022-01-27 15:00:32
322,36,984.2875,2021-05-06,,2021-05-06 13:04:07
37,48,415.1715,2022-01-19,,2022-01-19 01:18:24
362,58,231.1999,2022-06-07,,2022-06-07 01:42:00
305,50,475.3609,2021-04-05,,2021-04-05 18:32:37
73,22,264.7169,2021-10-02,,2021-10-02 15:26:52
73,6,841.9939,2023-06-06,,2023-06-06 07:14:42
276,39,950.3139,2023-01-06,,2023-01-06 06:46:52
287,54,312.6983,2023-02-15,,2023-02-15 08:12:01
366,1,949.6112,2023-05-12,,2023-05-12 18:32:58
86,34,518.237,2021-05-28,,2021-05-28 20:11:28
213,18,677.9337,2022-06-03,,2022-06-03 22:28:20
309,54,507.4289,2021-05-31,,2021-05-31 21:41:08
51,18,316.5478,2022-10-17,,2022-10-17 15:42:23
269,48,880.8606,2021-02-25,2022-01-25,2021-02-25 18:51:28
230,35,11.1292,2022-01-06,,2022-01-06 22:53:18
170,8,429.4707,2021-03-21,,2021-03-21 10:57:46
68,45,48.4477,2022-10-08,2024-06-08,2022-10-08 04:08:07
102,3,142.0534,2023-02-21,,2023-02-21 16:21:40
61,51,886.1527,2023-09-23,,2023-09-23 14:16:11
11,3,434.2097,2023-06-07,,2023-06-07 06:00:04
356,43,563.2242,2021-03-05,2023-01-19,2021-03-05 13:50:04
362,25,493.0334,2021-01-29,2021-12-02,2021-01-29 06:47:04
360,35,260.356,2022-04-10,2023-09-17,2022-04-10 07:17:45
186,29,124.1402,2023-02-15,,2023-02-15 08:03:42
27,45,758.4896,2022-07-02,,2022-07-02 02:21:26
339,32,847.454,2021-02-25,2023-06-04,2021-02-25 10:21:14
340,11,385.2346,2021-12-21,,2021-12-21 03:12:48
27,25,482.7308,2021-04-01,,2021-04-01 04:26:05
370,32,779.7342,2022-06-05,,2022-06-05 12:07:31
98,14,999.1235,2022-12-01,2024-11-16,2022-12-01 14:03:55
212,50,854.258,2021-04-11,,2021-04-11 16:16:58
246,33,291.9235,2021-08-08,,2021-08-08 16:13:53
207,9,266.844,2022-10-26,,2022-10-26 12:56:24
160,25,46.8623,2023-07-02,,2023-07-02 13:15:39
119,60,22.9237,2021-01-11,,2021-01-11 22:19:58
98,51,220.5168,2022-03-30,,2022-03-30 23:49:57
226,52,897.9817,2021-04-01,,2021-04-01 01:27:46
369,50,245.2595,2021-03-13,2023-01-22,2021-03-13 17:59:47
173,10,366.1011,2023-04-20,,2023-04-20 07:26:26
260,23,45.7382,2022-01-01,,2022-01-01 08:51:00
280,1,309.1149,2021-06-14,,2021-06-14 03:36:19
327,54,566.3074,2022-03-21,,2022-03-21 21:09:02
337,19,887.2888,2021-05-25,,2021-05-25 03:10:35
285,7,569.3002,2023-03-12,,2023-03-12 20:26:53
321,16,754.5209,2021-11-07,,2021-11-07 06:31:48
77,53,386.791,2022-08-14,,2022-08-14 11:08:12
94,25,596.8652,2022-11-22,,2022-11-22 23:29:11
124,29,212.5596,2022-02-21,,2022-02-21 22:47:18
321,14,984.9491,2023-07-08,,2023-07-08 08:07:00
119,42,471.3757,2022-03-08,,2022-03-08 16:37:19
358,31,736.4324,2022-10-27,2023-06-25,2022-10-27 08:07:27
191,32,133.5138,2023-06-15,,2023-06-15 19:47:29
145,1,260.201,2022-09-13,,2022-09-13 14:01:29
311,16,209.8076,2021-09-13,,2021-09-13 22:40:17
75,13,208.8274,2021-01-09,,2021-01-09 12:51:02
246,60,696.2463,2021-02-08,,2021-02-08 10:09:03
60,2,301.1244,2023-05-05,,2023-05-05 21:21:38
112,15,269.2144,2021-06-04,,2021-06-04 02:52:22
185,19,206.4432,2022-04-19,,2022-04-19 00:13:35
146,38,872.1884,2022-11-01,,2022-11-01 20:59:54
309,53,930.1091,2022-12-27,,2022-12-27 23:25:03
105,52,179.7594,2021-06-03,,2021-06-03 15:59:00
365,52,491.7649,2021-06-03,,2021-06-03 15:19:15
74,33,802.5178,2023-07-16,2025-02-07,2023-07-16 04:08:50
148,58,824.3631,2021-03-08,2023-11-27,2021-03-08 08:48:32
344,53,696.2092,2021-06-20,,2021-06-20 11:25:55
155,48,930.1689,2021-09-27,,2021-09-27 15:57:30
189,3,288.3674,2021-01-07,,2021-01-07 21:31:44
28,29,200.085,2022-02-16,,2022-02-16 03:21:11
254,9,566.829,2022-10-26,,2022-10-26 19:57:30
194,48,63.8055,2022-03-12,,2022-03-12 02:08:21
107,5,468.8199,2023-01-22,,2023-01-22 19:17:10
140,44,837.4683,2021-05-25,2022-11-24,2021-05-25 09:59:07
344,12,183.6865,2022-06-26,,2022-06-26 03:23:42
134,28,221.4329,2021-03-19,2021-05-13,2021-03-19 03:33:07
111,33,154.497,2022-04-25,,2022-04-25 08:12:02
120,33,554.6719,2022-02-11,,2022-02-11 17:40:08
270,51,537.1155,2021-05-26,,2021-05-26 22:55:23
259,34,402.7885,2021-06-03,,2021-06-03 05:52:08
123,38,31.731,2021-03-03,,2021-03-03 06:32:01
97,10,90.4737,2022-09-06,,2022-09-06 03:52:54
125,49,191.2492,2021-04-11,2022-07-05,2021-04-11 23:05:21
170,30,412.9015,2023-03-18,,2023-03-18 23:40:40
197,6,691.7418,2022-11-16,2024-09-20,2022-11-16 19:38:47
135,2,696.4661,2021-04-13,,2021-04-13 08:29:54
251,15,430.1431,2021-01-19,,2021-01-19 14:16:51
106,4,157.6873,2022-07-28,,2022-07-28 05:40:42
175,36,959.2617,2021-10-12,,2021-10-12 19:16:51
67,19,26.982,2023-04-21,,2023-04-21 22:48:52
218,40,34.7949,2022-10-14,,2022-10-14 13:01:14
212,30,866.0482,2021-01-11,,2021-01-11 19:50:00
152,15,8.5046,2021-06-15,,2021-06-15 04:58:50
108,44,363.062,2022-08-08,,2022-08-08 13:51:47
6,43,613.5206,2021-04-16,,2021-04-16 16:54:03
253,21,546.0668,2022-12-17,,2022-12-17 12:56:55
49,17,805.9524,2022-09-28,,2022-09-28 21:05:53
41,57,878.7921,2023-07-12,2025-11-13,2023-07-12 09:51:32
165,60,193.4699,2023-02-25,,2023-02-25 22:18:14
294,13,696.7868,2022-02-05,,2022-02-05 17:38:57
6,5,480.1586,2023-08-13,,2023-08-13 07:35:35
269,53,705.9742,2021-01-03,,2021-01-03 11:03:22
340,58,373.1209,2021-09-20,,2021-09-20 22:37:29
111,35,7.575,2023-06-24,,2023-06-24 05:44:49
166,1,467.6258,2022-11-20,,2022-11-20 19:36:34
352,28,931.7929,2023-05-27,,2023-05-27 23:27:51
183,22,632.8105,2023-02-12,,2023-02-12 03:48:20
88,33,513.4256,2021-04-14,,2021-04-14 01:29:33
184,14,901.2123,2023-08-01,,2023-08-01 06:06:49
101,31,359.3847,2022-08-01,,2022-08-01 10:44:52
143,17,791.048,2023-05-05,,2023-05-05 08:15:00
72,30,588.2247,2022-05-25,,2022-05-25 00:20:25
123,41,76.2518,2022-01-12,,2022-01-12 11:47:34
190,14,85.8274,2021-02-04,2021-06-25,2021-02-04 21:06:40
310,38,718.0159,2022-12-03,,2022-12-03 17:03:49
42,38,156.0245,2023-09-20,,2023-09-20 05:28:20
177,34,430.8185,2022-07-28,,2022-07-28 07:30:41
123,7,671.7163,2021-11-21,2024-07-18,2021-11-21 11:37:48
174,46,641.3634,2022-01-19,,2022-01-19 17:28:11
77,42,698.5962,2022-02-09,,2022-02-09 22:55:22
241,53,409.6907,2021-03-19,,2021-03-19 05:31:58
198,6,599.5577,2023-01-17,,2023-01-17 06:34:07
4,42,783.5627,2023-04-08,,2023-04-08 14:51:38
203,14,250.293,2023-03-28,,2023-03-28 09:12:43
138,30,115.916,2023-09-18,,2023-09-18 20:34:40
76,21,876.84,2022-08-12,,2022-08-12 04:46:14
327,42,733.2729,2022-09-18,2023-12-08,2022-09-18 13:22:23
335,21,904.3234,2023-07-20,,2023-07-20 10:35:08
372,37,557.1306,2022-10-12,,2022-10-12 06:01:20
166,46,449.2109,2022-08-13,,2022-08-13 12:41:49
