trade_id,account_id,product_id,trade_type,trade_qty,trade_price,trade_date,created_at
1,322,49,B,4949,16126.6999,2024-07-11,2024-07-11 15:12:15
2,297,21,S,397,6135.561,2023-06-30,2023-06-30 14:20:44
3,345,33,S,2193,25011.9403,2023-07-07,2023-07-07 08:15:30
4,118,49,S,799,48595.5317,2023-06-26,2023-06-26 09:43:27
5,315,30,B,4067,19801.6085,2024-05-14,2024-05-14 11:33:25
6,45,6,B,4493,19173.8152,2023-05-14,2023-05-14 15:16:53
7,187,42,S,550,12568.1849,2024-02-09,2024-02-09 14:21:12
8,291,46,B,3761,17023.0669,2023-04-22,2023-04-22 14:14:13
9,11,15,B,2049,24723.0187,2023-04-14,2023-04-14 14:00:58
10,289,17,S,4458,12811.5742,2023-01-13,2023-01-13 10:21:46
11,62,54,B,21,26590.7913,2024-11-14,2024-11-14 08:32:44
12,290,34,B,3665,34917.9747,2023-08-11,2023-08-11 13:42:22
13,260,59,B,1654,34214.2284,2024-11-08,2024-11-08 14:16:18
14,309,2,B,2442,35417.081,2023-10-03,2023-10-03 14:30:35
15,25,31,B,2641,30229.1412,2024-02-22,2024-02-22 17:03:44
16,202,47,B,1992,34642.3133,2024-02-01,2024-02-01 17:38:53
17,21,48,B,4660,7038.6902,2024-09-12,2024-09-12 13:28:34
18,282,21,B,4736,48554.3979,2024-08-16,2024-08-16 12:38:28
19,114,16,B,923,17571.1121,2024-07-25,2024-07-25 17:51:01
20,111,49,B,2856,31589.2453,2023-03-21,2023-03-21 08:18:06
21,163,25,B,4379,792.0799,2024-03-14,2024-03-14 13:56:37
22,125,35,B,770,34602.6552,2024-01-21,2024-01-21 10:37:40
23,118,24,B,3657,4045.739,2023-10-14,2023-10-14 17:42:55
24,10,47,B,23,3101.0573,2023-05-07,2023-05-07 15:53:56
25,11,42,S,3236,41077.487,2023-08-20,2023-08-20 14:37:12
26,207,35,B,1768,41315.9142,2023-06-07,2023-06-07 13:10:13
27,81,18,S,433,9535.7629,2024-09-14,2024-09-14 08:07:19
28,362,42,S,595,30317.4211,2024-02-08,2024-02-08 08:12:45
29,354,50,S,2650,32082.4299,2024-08-13,2024-08-13 14:43:08
30,332,41,B,1045,20284.4728,2023-06-07,2023-06-07 17:45:16
31,61,2,B,326,46593.933,2024-05-25,2024-05-25 16:44:51
32,2,24,S,1000,41726.9263,2023-08-27,2023-08-27 10:13:26
33,379,50,S,1689,13463.0905,2023-03-31,2023-03-31 09:09:57
34,154,42,S,2747,2538.0508,2024-10-04,2024-10-04 15:50:31
35,118,46,S,4783,28827.3352,2024-11-26,2024-11-26 13:54:36
36,308,26,B,2373,5724.8559,2024-04-05,2024-04-05 15:45:31
37,165,39,S,1146,9724.2031,2024-08-10,2024-08-10 10:52:18
38,200,35,B,4885,21105.8656,2023-03-27,2023-03-27 12:37:26
39,54,54,B,3851,10109.4955,2024-10-25,2024-10-25 12:57:27
40,293,7,S,1971,5160.6854,2024-04-06,2024-04-06 09:53:30
41,335,36,S,1734,49488.7397,2023-11-14,2023-11-14 12:45:39
42,47,32,S,280,32041.9336,2024-11-22,2024-11-22 17:29:19
43,182,32,B,4652,32453.2051,2023-06-30,2023-06-30 14:47:10
44,134,21,S,319,48874.1306,2024-07-16,2024-07-16 16:03:44
45,63,33,B,188,43682.6787,2023-09-08,2023-09-08 11:06:52
46,357,34,S,2394,3741.5173,2023-04-02,2023-04-02 13:58:17
47,220,49,S,4423,29432.8387,2024-03-30,2024-03-30 11:05:19
48,10,18,B,2544,31489.803,2024-01-30,2024-01-30 12:02:56
49,117,41,B,4674,7894.5228,2024-04-04,2024-04-04 08:10:22
50,25,5,B,2001,34461.6964,2023-12-26,2023-12-26 08:51:30
51,275,55,S,2676,29453.2653,2023-07-27,2023-07-27 16:53:00
52,99,3,B,4857,4040.6033,2023-01-07,2023-01-07 17:11:09
53,89,21,S,2558,7724.6497,2023-02-02,2023-02-02 09:00:55
54,124,20,S,3755,22973.6545,2024-08-05,2024-08-05 11:00:36
55,301,24,S,1475,10019.6685,2024-08-20,2024-08-20 14:13:25
56,134,46,S,4822,31041.7199,2023-04-09,2023-04-09 10:21:34
57,62,10,S,4260,8517.054,2023-03-27,2023-03-27 10:35:10
58,312,9,B,1489,12962.5694,2024-10-26,2024-10-26 13:23:46
59,121,20,S,3908,27672.4797,2023-04-30,2023-04-30 17:49:55
60,25,59,B,3009,35129.1656,2024-08-17,2024-08-17 10:24:05
61,215,15,S,4718,45918.1293,2023-02-28,2023-02-28 16:12:26
62,266,1,S,1501,27733.7169,2023-04-11,2023-04-11 08:56:16
63,143,14,B,2227,39435.3898,2023-07-02,2023-07-02 17:59:36
64,39,19,S,3826,6427.0299,2024-10-31,2024-10-31 12:10:44
65,128,20,B,2772,38500.4882,2024-05-13,2024-05-13 12:30:27
66,357,49,S,3239,31918.7806,2023-05-23,2023-05-23 17:40:12
67,206,39,B,4972,36726.6813,2023-03-19,2023-03-19 11:54:13
68,313,56,S,1274,25629.7474,2023-07-25,2023-07-25 17:03:58
69,5,12,S,3115,14468.4731,2023-12-26,2023-12-26 13:18:39
70,9,36,B,224,21968.5795,2024-04-18,2024-04-18 09:07:02
71,352,3,B,2241,7717.6193,2024-04-08,2024-04-08 14:29:14
72,15,28,S,1360,3677.9784,2024-03-06,2024-03-06 10:02:03
73,334,25,B,2668,1407.3018,2023-02-07,2023-02-07 10:52:41
74,116,44,B,504,25759.3257,2023-12-02,2023-12-02 17:22:38
75,180,7,S,1834,43640.2749,2023-08-03,2023-08-03 10:31:34
76,68,33,B,3358,49629.0578,2023-09-23,2023-09-23 14:42:14
77,270,38,B,3394,20657.7192,2023-08-24,2023-08-24 11:41:50
78,2,51,S,2289,14754.977,2024-04-12,2024-04-12 15:41:57
79,304,54,B,758,5858.3654,2024-10-05,2024-10-05 11:35:17
80,124,6,B,1634,7972.6278,2024-09-15,2024-09-15 11:22:01
81,380,25,S,3322,6429.1447,2024-09-12,2024-09-12 15:13:09
82,288,20,B,4369,8363.3766,2023-12-17,2023-12-17 16:50:40
