account_id,product_id,holding_qty,start_date,end_date,created_at
66,19,594.8662,2023-09-22,,2023-09-22 10:17:07
50,28,72.1774,2022-05-14,,2022-05-14 10:43:49
84,13,631.853,2023-01-17,,2023-01-17 08:04:13
174,6,26.9726,2023-09-08,,2023-09-08 05:18:40
122,19,458.1154,2022-08-29,,2022-08-29 14:18:34
31,4,955.7404,2021-02-20,,2021-02-20 22:41:23
104,18,665.8812,2022-03-25,,2022-03-25 12:54:21
99,16,510.0732,2021-11-16,,2021-11-16 08:59:05
36,28,132.9015,2021-07-13,,2021-07-13 00:22:06
122,25,610.6774,2021-01-11,2023-07-26,2021-01-11 09:18:11
104,40,332.6935,2023-08-29,,2023-08-29 21:27:50
99,26,833.3068,2021-01-27,2021-08-26,2021-01-27 00:34:03
55,34,317.4466,2021-01-12,,2021-01-12 19:18:40
127,28,147.7066,2022-08-20,,2022-08-20 01:11:58
136,22,558.1641,2021-05-08,,2021-05-08 02:43:27
99,12,345.6106,2022-03-11,,2022-03-11 20:12:42
170,5,561.0036,2023-08-12,,2023-08-12 01:52:07
100,19,354.6294,2021-07-21,2022-11-28,2021-07-21 11:21:53
103,15,670.5151,2021-09-25,,2021-09-25 06:01:23
33,29,892.2528,2021-05-20,2023-03-28,2021-05-20 22:36:12
147,3,355.3618,2022-02-17,,2022-02-17 15:53:40
179,5,929.1741,2021-05-02,,2021-05-02 13:52:37
114,12,152.3382,2022-01-31,,2022-01-31 08:02:28
16,3,412.6991,2023-03-25,,2023-03-25 12:14:28
30,5,518.9922,2022-04-15,,2022-04-15 10:34:49
128,33,492.5513,2021-11-18,,2021-11-18 03:43:22
61,30,125.3813,2022-03-05,2024-05-10,2022-03-05 18:50:57
44,20,769.5662,2021-03-30,,2021-03-30 23:57:23
21,40,982.3108,2021-10-22,,2021-10-22 10:59:19
170,40,218.9263,2023-09-01,,2023-09-01 02:56:10
171,25,789.3397,2021-05-04,,2021-05-04 18:56:02
36,38,882.2035,2021-07-16,,2021-07-16 23:14:20
128,15,522.7597,2022-10-31,,2022-10-31 16:36:32
