trade_id,account_id,product_id,trade_type,trade_qty,trade_price,trade_date,created_at
1,2,16,B,2323,41499.087,2024-04-13,2024-04-13 15:13:42
2,151,26,S,2618,272.4122,2024-02-24,2024-02-24 14:52:49
3,10,30,S,340,8420.2408,2024-06-25,2024-06-25 17:12:48
4,142,5,B,502,44402.7867,2024-06-26,2024-06-26 12:40:32
5,16,30,B,3808,10798.0418,2023-06-15,2023-06-15 10:45:28
6,176,5,B,2941,10399.7958,2023-09-25,2023-09-25 17:23:04
7,19,14,B,4591,16930.8047,2024-02-01,2024-02-01 09:15:58
8,132,25,B,2220,5956.4093,2024-01-24,2024-01-24 17:28:51
9,137,1,B,2661,5581.9463,2024-05-14,2024-05-14 11:18:10
10,43,9,S,668,29196.0373,2023-01-11,2023-01-11 09:25:43
11,155,6,B,835,2027.6454,2023-03-22,2023-03-22 10:20:16
12,140,1,S,1318,35997.896,2024-04-20,2024-04-20 14:42:17
13,176,27,B,4571,2047.9412,2024-10-25,2024-10-25 14:12:37
14,100,31,B,1884,11752.7796,2024-10-21,2024-10-21 16:52:39
15,82,40,S,2501,11076.894,2024-06-08,2024-06-08 11:54:40
16,165,9,S,118,3700.945,2023-09-20,2023-09-20 11:31:48
17,151,17,B,1887,14485.0187,2023-10-21,2023-10-21 17:15:08
18,87,1,B,2237,13558.955,2023-04-29,2023-04-29 13:30:20
19,86,8,S,734,43821.2146,2023-07-29,2023-07-29 08:47:32
20,88,33,B,2551,45683.0842,2024-07-13,2024-07-13 14:08:07
21,76,8,S,538,1033.9585,2023-07-22,2023-07-22 15:39:22
22,34,27,B,2066,39737.5171,2024-05-20,2024-05-20 10:00:30
23,63,20,B,470,9857.9307,2023-04-12,2023-04-12 15:28:07
24,76,1,B,1533,21948.7013,2024-03-31,2024-03-31 14:27:13
25,103,8,S,1992,28159.5892,2024-10-22,2024-10-22 16:01:20
26,34,35,B,1385,218.3649,2024-05-03,2024-05-03 10:23:19
27,119,29,B,2014,17212.0559,2023-12-29,2023-12-29 16:03:09
28,104,14,S,733,6638.9371,2023-05-01,2023-05-01 09:30:38
29,135,1,S,2937,41391.5852,2023-11-23,2023-11-23 17:41:38
30,80,5,B,422,3623.2028,2023-04-13,2023-04-13 11:34:38
31,104,26,B,3227,1255.2154,2024-07-18,2024-07-18 17:09:02
32,143,3,B,2767,25338.3666,2023-09-25,2023-09-25 16:49:53
33,177,31,B,3688,34099.2429,2024-05-05,2024-05-05 16:02:00
34,68,14,B,677,34116.0279,2024-04-08,2024-04-08 13:33:11
35,89,6,S,3180,49922.6042,2023-03-30,2023-03-30 10:14:46
36,128,23,B,4950,23498.2435,2024-02-16,2024-02-16 17:32:02
37,66,22,S,530,27569.567,2023-06-25,2023-06-25 11:45:59
38,4,20,S,197,40221.6924,2024-11-02,2024-11-02 14:45:53
39,102,20,B,712,12685.0699,2023-07-19,2023-07-19 17:07:24
40,41,8,S,1103,20857.717,2024-01-07,2024-01-07 14:10:52
41,134,7,B,2089,17340.5294,2023-10-29,2023-10-29 11:46:06
42,11,32,S,3994,34133.2808,2023-08-05,2023-08-05 11:08:21
43,14,23,B,304,29659.6369,2023-07-21,2023-07-21 10:00:09
44,161,34,B,212,2556.2771,2023-05-08,2023-05-08 11:57:01
45,7,24,S,3343,610.1442,2024-11-25,2024-11-25 09:45:57
46,43,40,S,3629,36439.1154,2023-12-13,2023-12-13 12:04:46
47,28,28,B,182,31306.7963,2023-01-19,2023-01-19 11:00:11
48,9,39,B,3915,8585.5888,2024-11-21,2024-11-21 16:31:41
49,96,11,S,1230,30212.8268,2024-03-02,2024-03-02 13:39:27
50,98,34,S,2418,38766.7395,2024-03-13,2024-03-13 13:51:13
51,67,15,B,3970,10898.0738,2023-08-18,2023-08-18 14:15:27
52,152,39,S,3534,17887.5864,2023-12-09,2023-12-09 13:14:49
53,119,23,B,98,42434.5666,2024-01-10,2024-01-10 10:17:33
54,37,12,S,1699,40931.3592,2023-06-28,2023-06-28 13:27:23
55,70,19,B,1456,41026.9944,2023-01-13,2023-01-13 09:05:14
56,40,33,S,3610,16369.2104,2024-09-25,2024-09-25 10:24:29
57,151,36,B,695,38217.3027,2024-02-16,2024-02-16 10:22:28
58,46,35,B,4402,49045.9222,2024-08-30,2024-08-30 12:07:17
59,165,29,S,1262,3142.0188,2024-05-26,2024-05-26 16:06:04
60,2,25,B,498,39293.2363,2024-08-30,2024-08-30 12:26:26
61,9,13,S,2544,36111.9826,2023-10-04,2023-10-04 08:27:56
62,57,3,S,2005,43590.8882,2024-05-23,2024-05-23 11:44:34
63,10,6,B,4146,48896.4073,2023-11-18,2023-11-18 12:16:08
64,133,9,S,1961,6656.6791,2024-09-05,2024-09-05 09:59:05
65,95,39,B,2793,36018.3099,2023-10-26,2023-10-26 11:48:06
66,19,12,B,2485,6965.7495,2023-10-30,2023-10-30 17:18:26
67,32,23,B,3050,32927.327,2023-04-25,2023-04-25 17:49:42
68,24,27,S,4507,33118.9289,2023-06-27,2023-06-27 10:41:17
69,33,19,S,836,32689.6158,2024-02-24,2024-02-24 08:20:32
70,35,29,B,3968,10580.8385,2023-08-01,2023-08-01 09:10:03
71,76,25,B,450,29325.0776,2023-08-24,2023-08-24 14:11:51
72,32,16,S,959,4274.1519,2024-02-17,2024-02-17 15:42:20
73,16,35,B,4710,13687.6687,2023-04-03,2023-04-03 10:41:46
74,128,37,B,4962,8662.4234,2023-08-06,2023-08-06 15:06:45
75,33,2,B,3676,49732.9607,2023-05-18,2023-05-18 15:19:04
76,27,32,S,3935,44908.1227,2023-07-28,2023-07-28 11:39:22
77,178,12,S,360,38947.8968,2023-09-19,2023-09-19 15:59:57
78,99,13,B,3396,13186.5964,2023-02-12,2023-02-12 08:20:49
79,180,3,B,2035,22962.358,2023-02-11,2023-02-11 09:36:38
80,123,17,S,128,228.4077,2024-04-14,2024-04-14 13:45:19
81,31,21,B,2756,22360.0837,2024-05-08,2024-05-08 10:22:53
82,50,33,B,1395,46165.9097,2023-04-06,2023-04-06 09:57:59
83,11,15,S,3730,21237.2315,2024-08-08,2024-08-08 10:42:47
84,123,4,B,1582,12462.2883,2024-08-08,2024-08-08 11:05:50
85,28,13,S,418,20353.698,2023-07-15,2023-07-15 09:23:32
86,76,37,B,852,153.5095,2024-05-08,2024-05-08 16:43:34
87,163,27,S,2948,3652.6117,2023-05-04,2023-05-04 13:16:36
88,31,35,B,2951,45630.7835,2024-07-21,2024-07-21 12:08:11
89,109,8,S,4638,40745.2216,2023-09-06,2023-09-06 12:15:09
90,107,4,B,1160,25615.5608,2024-09-13,2024-09-13 16:50:18
91,127,39,B,1741,47088.1442,2023-05-13,2023-05-13 13:30:09
92,62,36,B,2713,7372.5656,2023-11-04,2023-11-04 13:42:50
93,160,14,S,911,47419.1279,2023-09-16,2023-09-16 10:29:15
94,88,32,B,4795,15430.4502,2023-09-02,2023-09-02 12:43:17
95,178,37,B,2865,6557.1935,2023-12-06,2023-12-06 15:45:18
96,142,27,S,1597,24674.992,2023-06-19,2023-06-19 17:50:12
97,14,19,B,3459,2157.0945,2024-02-16,2024-02-16 13:50:07
98,174,29,B,1468,30078.5276,2023-10-16,2023-10-16 16:59:05
99,95,23,B,4198,29724.7634,2024-01-05,2024-01-05 10:50:21
100,118,10,B,966,11269.0251,2024-11-29,2024-11-29 10:35:06
101,65,36,S,1764,6190.9685,2023-10-01,2023-10-01 08:53:59
102,175,27,S,1054,11155.4045,2023-11-04,2023-11-04 17:50:13
103,163,6,S,4680,48014.8979,2024-07-28,2024-07-28 15:17:28
104,50,21,B,2165,23468.5488,2023-08-05,2023-08-05 16:44:15
105,71,1,B,335,38363.3873,2023-03-22,2023-03-22 09:13:58
106,70,25,S,3115,11258.9667,2023-08-22,2023-08-22 10:17:15
107,29,28,S,294,27351.3342,2024-06-04,2024-06-04 16:30:37
108,151,26,B,4878,39282.0184,2024-01-13,2024-01-13 12:47:40
109,57,27,B,530,33378.9542,2024-09-27,2024-09-27 09:25:45
110,55,2,S,1112,7570.0754,2023-07-25,2023-07-25 13:15:56
111,31,27,B,3877,2484.7277,2024-07-12,2024-07-12 16:10:23
112,160,27,B,2184,8847.6442,2023-12-25,2023-12-25 10:58:58
113,58,11,B,3473,35255.507,2023-05-05,2023-05-05 11:19:23
114,114,25,B,269,953.8275,2024-05-29,2024-05-29 10:42:33
115,56,3,S,1322,22752.4652,2024-10-27,2024-10-27 16:48:11
116,155,20,B,2725,47101.8844,2023-06-04,2023-06-04 16:37:54
117,124,3,B,421,27341.0853,2024-08-17,2024-08-17 12:48:51
118,29,16,S,1010,45362.3462,2023-05-20,2023-05-20 09:27:54
119,32,20,S,3599,38920.2077,2023-12-21,2023-12-21 14:14:03
120,123,15,B,2406,17363.5743,2024-10-11,2024-10-11 12:13:59
121,129,4,S,463,34716.6989,2024-07-31,2024-07-31 08:01:43
122,152,17,B,258,10774.2131,2024-10-14,2024-10-14 08:13:47
123,3,3,B,1400,17236.376,2023-05-02,2023-05-02 11:57:07
124,86,10,S,991,42618.8029,2023-06-08,2023-06-08 17:06:51
125,6,6,B,2944,18112.1729,2024-05-29,2024-05-29 08:41:28
126,2,33,B,166,37271.1646,2024-09-04,2024-09-04 11:23:54
127,68,4,B,1226,38042.0935,2024-11-21,2024-11-21 17:15:18
128,131,12,B,2567,3591.8733,2024-06-27,2024-06-27 08:21:18
129,108,27,S,3218,32228.8914,2023-04-27,2023-04-27 12:53:21
130,121,28,S,4982,40466.6475,2024-08-07,2024-08-07 09:05:11
131,135,22,B,4103,35152.9478,2024-02-23,2024-02-23 10:21:10
132,128,36,B,2350,37516.1961,2023-10-29,2023-10-29 14:15:59
133,134,5,B,15,31250.8259,2023-05-24,2023-05-24 09:10:42
134,26,25,S,3821,39458.7442,2023-10-10,2023-10-10 12:50:41
135,174,9,B,1503,48891.668,2023-07-10,2023-07-10 11:42:41
136,8,10,B,3708,27643.2671,2024-05-31,2024-05-31 15:18:57
137,142,8,B,1523,30184.6603,2023-11-11,2023-11-11 12:46:01
138,122,22,B,4928,38920.849,2024-03-04,2024-03-04 14:44:32
139,47,10,S,3117,39253.3838,2023-07-13,2023-07-13 16:47:00
140,155,13,B,82,28608.4134,2024-09-28,2024-09-28 15:16:27
141,2,40,B,563,9576.1546,2023-01-23,2023-01-23 09:37:17
142,111,12,B,3044,9235.4877,2023-02-16,2023-02-16 16:38:30
143,104,16,S,718,25786.9074,2023-09-06,2023-09-06 10:44:02
144,33,19,B,1847,7245.6937,2024-10-06,2024-10-06 10:55:54
145,128,40,B,112,40982.2113,2023-05-11,2023-05-11 14:47:17
146,110,3,B,3618,19060.7208,2023-05-31,2023-05-31 13:40:36
147,31,19,S,723,25035.7866,2024-05-05,2024-05-05 16:01:23
148,128,4,B,724,20150.0532,2024-11-11,2024-11-11 15:46:50
149,56,12,S,4013,12231.393,2023-10-31,2023-10-31 14:53:00
150,131,24,S,4387,35227.5028,2024-05-26,2024-05-26 10:30:33
151,163,12,S,488,9395.5401,2024-04-13,2024-04-13 15:23:33
152,92,34,B,3919,12897.1278,2024-01-16,2024-01-16 09:01:34
153,113,21,S,2230,44888.4413,2024-11-27,2024-11-27 17:20:17
154,159,21,B,3465,39593.1517,2023-01-05,2023-01-05 08:04:36
155,165,5,S,380,47371.4167,2024-04-13,2024-04-13 08:19:54
156,42,9,B,1175,13995.2641,2024-02-05,2024-02-05 09:37:00
157,8,27,B,1208,1363.4116,2024-10-15,2024-10-15 12:49:47
158,10,26,B,2664,22306.614,2023-08-04,2023-08-04 09:24:40
159,89,18,B,1731,46743.2361,2024-05-18,2024-05-18 09:15:30
160,102,25,B,705,12399.3137,2024-04-29,2024-04-29 17:11:34
161,175,14,B,1296,16293.1971,2023-03-03,2023-03-03 09:45:25
162,33,18,S,1356,6428.6268,2023-02-24,2023-02-24 11:45:04
163,112,16,B,215,10084.9138,2024-09-03,2024-09-03 11:43:11
164,98,25,B,3455,5202.6998,2024-04-20,2024-04-20 08:57:05
165,48,27,B,810,10556.9371,2023-07-19,2023-07-19 17:46:19
166,158,8,B,3181,39873.1104,2024-05-21,2024-05-21 15:03:53
167,53,25,S,1377,41173.9949,2023-11-22,2023-11-22 13:56:59
168,178,35,B,4818,48275.9888,2024-08-20,2024-08-20 16:05:48
169,166,10,S,3997,46254.8671,2023-09-29,2023-09-29 14:12:08
170,162,10,S,2917,18177.3805,2023-10-10,2023-10-10 12:09:00
171,149,39,S,3517,39628.4693,2023-03-10,2023-03-10 13:56:28
