trade_id,settlement_date,account_id,settlement_amount,fee,status,settled_at,created_at
254,2024-11-06,79,45880723.47,45880.72,S,2024-11-06 10:00:00,2024-11-06 19:35:05
372,2024-08-12,196,142131720.09,142131.72,S,2024-08-12 14:00:00,2024-08-12 22:57:37
138,2023-03-28,311,131086789.02,131086.79,S,2023-03-28 10:00:00,2023-03-28 14:31:28
391,2023-05-16,206,40253993.22,40253.99,S,2023-05-16 12:00:00,2023-05-16 23:08:10
296,2024-01-02,286,84411197.08,84411.2,P,,2024-01-02 00:32:24
54,2023-01-23,334,21204407.49,21204.41,S,2023-01-23 16:00:00,2023-01-23 11:34:18
48,2023-03-20,180,101158872.08,101158.87,S,2023-03-20 09:00:00,2023-03-20 08:56:16
257,2024-11-02,183,161283923.28,161283.92,S,2024-11-02 17:00:00,2024-11-02 22:44:42
119,2023-10-11,203,203206297.81,203206.3,S,2023-10-11 14:00:00,2023-10-11 18:30:53
2,2023-03-04,247,41058708.99,41058.71,S,2023-03-04 12:00:00,2023-03-04 15:22:23
6,2023-09-24,118,89005154.83,89005.15,S,2023-09-24 16:00:00,2023-09-24 22:09:39
376,2024-02-07,284,99758634.88,99758.63,P,,2024-02-07 14:35:18
55,2023-06-19,353,7634377.81,7634.38,S,2023-06-19 14:00:00,2023-06-19 13:56:27
286,2024-07-03,45,111538943.23,111538.94,S,2024-07-03 12:00:00,2024-07-03 14:25:13
128,2023-09-25,163,9627385.72,9627.39,P,,2023-09-25 13:48:51
349,2024-06-16,136,17974850.09,17974.85,S,2024-06-16 09:00:00,2024-06-16 02:05:28
301,2024-09-12,221,112355843.56,112355.84,S,2024-09-12 09:00:00,2024-09-12 15:04:45
60,2024-07-24,11,2749658.27,2749.66,S,2024-07-24 09:00:00,2024-07-24 14:29:08
338,2023-03-29,27,26145162.56,26145.16,S,2023-03-29 12:00:00,2023-03-29 16:11:04
216,2023-03-27,225,21009705.88,21009.71,S,2023-03-27 12:00:00,2023-03-27 05:56:09
232,2023-02-01,246,117683730.96,117683.73,S,2023-02-01 15:00:00,2023-02-01 17:32:29
181,2023-07-11,322,79296635.71,79296.64,S,2023-07-11 09:00:00,2023-07-11 17:08:00
204,2024-01-29,113,18980295.18,18980.3,S,2024-01-29 10:00:00,2024-01-29 03:47:08
226,2023-07-23,244,102896050.91,102896.05,S,2023-07-23 10:00:00,2023-07-23 21:54:08
202,2023-10-04,24,99734547.33,99734.55,S,2023-10-04 15:00:00,2023-10-04 15:35:38
89,2023-10-26,47,56084103.73,56084.1,P,,2023-10-26 16:38:05
245,2023-11-21,75,31130560.45,31130.56,S,2023-11-21 12:00:00,2023-11-21 03:51:29
389,2024-11-02,49,30939314.2,30939.31,P,,2024-11-02 14:18:40
383,2024-03-25,94,118451766.26,118451.77,P,,2024-03-25 16:50:48
306,2024-02-23,196,7510198.13,7510.2,S,2024-02-23 11:00:00,2024-02-23 19:59:24
93,2023-12-09,169,44729950.8,44729.95,P,,2023-12-09 03:27:03
239,2024-09-24,149,8167921.6,8167.92,S,2024-09-24 12:00:00,2024-09-24 02:50:42
126,2023-10-22,170,70791493.39,70791.49,S,2023-10-22 16:00:00,2023-10-22 05:52:03
360,2023-11-16,224,27857730.73,27857.73,S,2023-11-16 10:00:00,2023-11-16 06:15:46
297,2023-11-01,236,58816643.04,58816.64,S,2023-11-01 17:00:00,2023-11-01 02:25:50
107,2023-09-12,38,9714690.07,9714.69,P,,2023-09-12 22:12:26
56,2023-06-22,361,58547341.73,58547.34,S,2023-06-22 15:00:00,2023-06-22 15:27:18
171,2024-08-21,286,5225511.25,5225.51,F,,2024-08-21 03:28:35
186,2023-09-08,161,99780366.76,99780.37,P,,2023-09-08 01:28:15
287,2024-01-17,28,175762135.86,175762.14,S,2024-01-17 09:00:00,2024-01-17 20:38:57
121,2023-11-28,72,27387624.57,27387.62,S,2023-11-28 10:00:00,2023-11-28 12:17:06
73,2024-09-01,147,13469295.31,13469.3,S,2024-09-01 14:00:00,2024-09-01 06:49:46
137,2024-03-21,191,99464535.36,99464.54,S,2024-03-21 11:00:00,2024-03-21 11:36:56
351,2024-07-22,219,21319174.03,21319.17,S,2024-07-22 13:00:00,2024-07-22 10:30:03
240,2023-01-26,231,10691939.68,10691.94,S,2023-01-26 12:00:00,2023-01-26 08:21:22
117,2023-10-31,145,2422829.23,2422.83,S,2023-10-31 13:00:00,2023-10-31 21:10:45
15,2023-05-26,192,147993628.05,147993.63,P,,2023-05-26 08:00:10
319,2024-08-02,58,61014123.78,61014.12,S,2024-08-02 09:00:00,2024-08-02 18:49:08
291,2024-12-02,341,4074950.54,4074.95,S,2024-12-02 12:00:00,2024-12-02 04:46:20
339,2023-09-24,297,48217512.22,48217.51,P,,2023-09-24 00:48:32
42,2023-11-29,355,111980313.69,111980.31,S,2023-11-29 11:00:00,2023-11-29 15:53:10
352,2024-03-18,74,225815327.71,225815.33,S,2024-03-18 16:00:00,2024-03-18 17:20:18
136,2024-09-14,199,95523994.13,95523.99,S,2024-09-14 17:00:00,2024-09-14 02:41:31
362,2024-06-02,329,2933715.57,2933.72,S,2024-06-02 11:00:00,2024-06-02 14:05:59
175,2024-08-16,3,98951552.64,98951.55,S,2024-08-16 16:00:00,2024-08-16 09:07:48
