quote_id,product_id,quote_ts,source,payload
1,6,2024-04-17 03:19:27,EXCHANGE,"{""bid"": 42583.283, ""ask"": 42586.6151, ""volume"": 798228, ""spread"": 3.3321}"
2,7,2024-05-05 08:50:40,EXCHANGE,"{""bid"": 5244.5759, ""ask"": 5245.9656, ""volume"": 711305, ""spread"": 1.3897}"
3,18,2024-11-28 22:50:23,EXCHANGE,"{""bid"": 36391.2652, ""ask"": 36394.4729, ""volume"": 393322, ""spread"": 3.2077}"
4,38,2024-07-14 09:31:06,EXCHANGE,"{""bid"": 24662.8091, ""ask"": 24665.1084, ""volume"": 164574, ""spread"": 2.2993}"
5,1,2025-01-18 11:18:17,OTC,"{""bid"": 13938.5268, ""ask"": 13939.7471, ""volume"": 531926, ""spread"": 1.2203}"
6,31,2024-11-13 15:50:48,EXCHANGE,"{""bid"": 2216.7482, ""ask"": 2217.3125, ""volume"": 383192, ""spread"": 0.5643}"
7,10,2024-08-11 15:19:28,OTC,"{""bid"": 30348.5996, ""ask"": 30351.2897, ""volume"": 856005, ""spread"": 2.6901}"
8,32,2024-05-14 20:28:35,OTC,"{""bid"": 421.3667, ""ask"": 423.7891, ""volume"": 545423, ""spread"": 2.4224}"
9,7,2024-10-26 15:28:47,EXCHANGE,"{""bid"": 31287.648, ""ask"": 31287.9565, ""volume"": 895097, ""spread"": 0.3085}"
10,4,2024-09-21 00:58:41,EXCHANGE,"{""bid"": 43618.6267, ""ask"": 43622.8119, ""volume"": 998827, ""spread"": 4.1852}"
11,15,2024-05-06 22:04:18,EXCHANGE,"{""bid"": 5221.581, ""ask"": 5223.2582, ""volume"": 601411, ""spread"": 1.6772}"
12,40,2024-07-08 02:56:17,EXCHANGE,"{""bid"": 30014.0706, ""ask"": 30014.6705, ""volume"": 791854, ""spread"": 0.5999}"
13,14,2024-08-01 07:59:25,EXCHANGE,"{""bid"": 29979.4226, ""ask"": 29982.7652, ""volume"": 676881, ""spread"": 3.3426}"
14,9,2024-04-14 09:02:05,EXCHANGE,"{""bid"": 28577.4646, ""ask"": 28581.561, ""volume"": 276028, ""spread"": 4.0964}"
15,18,2024-09-22 01:02:15,EXCHANGE,"{""bid"": 15967.7889, ""ask"": 15971.8256, ""volume"": 979374, ""spread"": 4.0367}"
16,23,2024-02-14 06:16:59,EXCHANGE,"{""bid"": 5830.3941, ""ask"": 5835.2339, ""volume"": 563985, ""spread"": 4.8398}"
17,16,2025-01-26 01:26:55,OTC,"{""bid"": 43785.5342, ""ask"": 43786.7982, ""volume"": 558772, ""spread"": 1.264}"
18,11,2024-12-03 15:46:10,EXCHANGE,"{""bid"": 23731.0805, ""ask"": 23731.7187, ""volume"": 549777, ""spread"": 0.6382}"
19,31,2024-08-28 19:08:36,EXCHANGE,"{""bid"": 13082.7606, ""ask"": 13084.7371, ""volume"": 737055, ""spread"": 1.9765}"
20,29,2024-08-20 13:47:32,EXCHANGE,"{""bid"": 34610.3764, ""ask"": 34613.8256, ""volume"": 254719, ""spread"": 3.4492}"
21,8,2025-01-03 07:23:54,EXCHANGE,"{""bid"": 2054.1488, ""ask"": 2058.694, ""volume"": 274741, ""spread"": 4.5452}"
22,38,2024-04-25 05:12:04,OTC,"{""bid"": 40017.7759, ""ask"": 40019.8418, ""volume"": 465147, ""spread"": 2.0659}"
23,36,2025-02-02 08:01:51,EXCHANGE,"{""bid"": 13809.7617, ""ask"": 13813.8177, ""volume"": 876798, ""spread"": 4.056}"
24,21,2024-07-30 05:02:55,OTC,"{""bid"": 19490.6724, ""ask"": 19495.462, ""volume"": 93899, ""spread"": 4.7896}"
25,39,2024-03-16 10:09:53,EXCHANGE,"{""bid"": 35518.2022, ""ask"": 35519.8106, ""volume"": 342030, ""spread"": 1.6084}"
26,1,2024-03-10 18:38:40,EXCHANGE,"{""bid"": 8065.8966, ""ask"": 8068.3226, ""volume"": 595111, ""spread"": 2.426}"
27,14,2024-12-24 23:28:17,EXCHANGE,"{""bid"": 40230.9816, ""ask"": 40235.5621, ""volume"": 273764, ""spread"": 4.5805}"
28,28,2025-01-26 01:27:38,EXCHANGE,"{""bid"": 25198.7316, ""ask"": 25199.337, ""volume"": 260078, ""spread"": 0.6054}"
29,33,2024-04-12 04:27:31,EXCHANGE,"{""bid"": 6441.1266, ""ask"": 6445.5103, ""volume"": 241909, ""spread"": 4.3837}"
30,2,2024-10-26 07:30:02,EXCHANGE,"{""bid"": 4750.1121, ""ask"": 4750.5875, ""volume"": 89346, ""spread"": 0.4754}"
31,19,2024-02-18 06:06:19,EXCHANGE,"{""bid"": 5921.2911, ""ask"": 5921.5575, ""volume"": 13885, ""spread"": 0.2664}"
32,4,2025-01-10 16:16:52,OTC,"{""bid"": 37462.41, ""ask"": 37466.3974, ""volume"": 233496, ""spread"": 3.9874}"
33,12,2024-08-05 15:37:01,EXCHANGE,"{""bid"": 47717.5151, ""ask"": 47722.3279, ""volume"": 798871, ""spread"": 4.8128}"
34,1,2024-04-14 04:10:38,EXCHANGE,"{""bid"": 37644.9349, ""ask"": 37647.0813, ""volume"": 88351, ""spread"": 2.1464}"
35,26,2024-03-31 06:13:32,OTC,"{""bid"": 35528.6288, ""ask"": 35532.46, ""volume"": 88070, ""spread"": 3.8312}"
36,30,2025-01-18 14:37:06,EXCHANGE,"{""bid"": 44043.2955, ""ask"": 44044.0401, ""volume"": 34655, ""spread"": 0.7446}"
37,35,2024-08-01 09:37:20,EXCHANGE,"{""bid"": 47768.3522, ""ask"": 47771.8995, ""volume"": 195891, ""spread"": 3.5473}"
38,21,2024-10-24 21:35:10,OTC,"{""bid"": 18158.8653, ""ask"": 18159.8574, ""volume"": 771330, ""spread"": 0.9921}"
39,1,2024-04-27 01:10:55,EXCHANGE,"{""bid"": 39127.3299, ""ask"": 39127.343, ""volume"": 510282, ""spread"": 0.0131}"
40,4,2025-01-29 16:05:30,OTC,"{""bid"": 39280.8262, ""ask"": 39281.9129, ""volume"": 522683, ""spread"": 1.0867}"
41,6,2024-11-11 07:29:13,EXCHANGE,"{""bid"": 5804.1293, ""ask"": 5809.0578, ""volume"": 91487, ""spread"": 4.9285}"
42,7,2024-01-03 19:34:41,EXCHANGE,"{""bid"": 9724.3616, ""ask"": 9725.2515, ""volume"": 275446, ""spread"": 0.8899}"
43,22,2025-01-22 13:47:17,EXCHANGE,"{""bid"": 25698.6947, ""ask"": 25701.505, ""volume"": 846135, ""spread"": 2.8103}"
