trade_id,settlement_date,account_id,settlement_amount,fee,status,settled_at,created_at
199,2024-05-06,164,5435234.98,5435.23,S,2024-05-06 14:00:00,2024-05-06 03:08:48
28,2024-06-02,8,102501234.41,102501.23,S,2024-06-02 10:00:00,2024-06-02 15:06:57
24,2023-10-31,128,88163060.84,88163.06,P,,2023-10-31 07:29:20
180,2023-02-19,19,159573273.03,159573.27,S,2023-02-19 09:00:00,2023-02-19 15:42:45
19,2024-11-23,68,46639606.63,46639.61,S,2024-11-23 15:00:00,2024-11-23 11:51:03
118,2023-03-24,156,43802879.0,43802.88,S,2023-03-24 12:00:00,2023-03-24 20:43:16
46,2023-01-07,159,137190270.64,137190.27,P,,2023-01-07 14:02:05
77,2023-03-27,78,63532336.1,63532.34,S,2023-03-27 16:00:00,2023-03-27 20:15:20
42,2024-05-28,131,154543054.78,154543.05,S,2024-05-28 11:00:00,2024-05-28 05:14:53
16,2023-06-10,86,42235233.67,42235.23,S,2023-06-10 13:00:00,2023-06-10 23:13:24
80,2023-03-16,44,19980570.13,19980.57,S,2023-03-16 16:00:00,2023-03-16 02:10:20
83,2023-04-22,10,15586846.58,15586.85,S,2023-04-22 14:00:00,2023-04-22 03:53:43
114,2023-05-07,36,834857.22,834.86,S,2023-05-07 16:00:00,2023-05-07 19:40:04
113,2024-03-18,44,105367063.63,105367.06,S,2024-03-18 09:00:00,2024-03-18 11:43:06
8,2023-06-06,155,128352634.99,128352.63,S,2023-06-06 17:00:00,2023-06-06 07:02:57
200,2024-05-27,53,65669869.58,65669.87,S,2024-05-27 11:00:00,2024-05-27 22:29:12
116,2023-06-15,23,35957488.9,35957.49,S,2023-06-15 11:00:00,2023-06-15 23:35:06
6,2024-05-31,114,256579.6,256.58,S,2024-05-31 14:00:00,2024-05-31 18:54:06
170,2023-01-20,154,143670960.88,143670.96,P,,2023-01-20 15:40:58
161,2024-11-02,177,61783638.13,61783.64,S,2024-11-02 17:00:00,2024-11-02 09:10:46
15,2023-05-04,3,24130926.4,24130.93,P,,2023-05-04 13:11:56
133,2023-08-21,36,186402555.51,186402.56,S,2023-08-21 11:00:00,2023-08-21 16:31:14
153,2023-09-22,106,130424466.41,130424.47,S,2023-09-22 16:00:00,2023-09-22 00:02:12
52,2024-05-01,102,8741516.16,8741.52,S,2024-05-01 12:00:00,2024-05-01 08:11:34
36,2024-10-08,33,13382796.26,13382.8,S,2024-10-08 13:00:00,2024-10-08 02:08:14
96,2023-12-26,26,95052904.6,95052.9,S,2023-12-26 09:00:00,2023-12-26 05:38:09
10,2023-05-22,29,45815969.66,45815.97,S,2023-05-22 10:00:00,2023-05-22 18:59:40
87,2023-08-21,101,85855772.27,85855.77,F,,2023-08-21 19:19:45
49,2024-10-17,8,1647001.21,1647.0,S,2024-10-17 09:00:00,2024-10-17 02:04:51
72,2024-03-18,93,10825606.36,10825.61,S,2024-03-18 12:00:00,2024-03-18 11:55:43
60,2024-08-22,178,232593714.04,232593.71,S,2024-08-22 12:00:00,2024-08-22 10:05:46
27,2023-07-12,174,73484177.0,73484.18,P,,2023-07-12 13:33:28
122,2023-11-26,35,147896055.33,147896.06,S,2023-11-26 12:00:00,2023-11-26 07:35:09
179,2023-08-20,106,93443516.59,93443.52,S,2023-08-20 16:00:00,2023-08-20 01:18:54
58,2024-05-23,158,126836364.18,126836.36,S,2024-05-23 11:00:00,2024-05-23 13:41:16
126,2024-10-06,76,13807625.32,13807.63,S,2024-10-06 17:00:00,2024-10-06 03:50:17
11,2023-12-23,32,140073827.51,140073.83,S,2023-12-23 10:00:00,2023-12-23 13:19:30
48,2024-02-07,42,16444435.32,16444.44,P,,2024-02-07 20:52:51
70,2024-10-20,87,66075511.85,66075.51,P,,2024-10-20 21:13:14
128,2023-09-29,172,35494423.69,35494.42,S,2023-09-29 14:00:00,2023-09-29 23:20:51
193,2023-10-29,131,29375988.17,29375.99,S,2023-10-29 12:00:00,2023-10-29 07:47:18
115,2024-10-02,75,153576607.99,153576.61,P,,2024-10-02 05:47:33
82,2023-11-27,139,14341603.33,14341.6,S,2023-11-27 15:00:00,2023-11-27 05:12:02
