trade_id,account_id,product_id,trade_type,trade_qty,trade_price,trade_date,created_at
1,17,37,S,653,10802.9352,2024-09-30,2024-09-30 09:26:37
2,35,10,B,1654,14530.1147,2024-03-05,2024-03-05 13:50:12
3,103,31,B,4476,49270.066,2024-09-30,2024-09-30 15:31:46
4,57,40,S,2184,8847.6442,2023-12-25,2023-12-25 10:58:58
5,58,11,B,3473,35255.507,2023-05-05,2023-05-05 11:19:23
6,114,25,B,269,953.8275,2024-05-29,2024-05-29 10:42:33
7,56,3,S,1322,22752.4652,2024-10-27,2024-10-27 16:48:11
8,155,20,B,2725,47101.8844,2023-06-04,2023-06-04 16:37:54
9,124,3,B,421,27341.0853,2024-08-17,2024-08-17 12:48:51
10,29,16,S,1010,45362.3462,2023-05-20,2023-05-20 09:27:54
11,32,20,S,3599,38920.2077,2023-12-21,2023-12-21 14:14:03
12,123,15,B,2406,17363.5743,2024-10-11,2024-10-11 12:13:59
13,129,4,S,463,34716.6989,2024-07-31,2024-07-31 08:01:43
14,152,17,B,258,10774.2131,2024-10-14,2024-10-14 08:13:47
15,3,3,B,1400,17236.376,2023-05-02,2023-05-02 11:57:07
16,86,10,S,991,42618.8029,2023-06-08,2023-06-08 17:06:51
17,6,6,B,2944,18112.1729,2024-05-29,2024-05-29 08:41:28
18,2,33,B,166,37271.1646,2024-09-04,2024-09-04 11:23:54
19,68,4,B,1226,38042.0935,2024-11-21,2024-11-21 17:15:18
20,131,12,B,2567,3591.8733,2024-06-27,2024-06-27 08:21:18
21,108,27,S,3218,32228.8914,2023-04-27,2023-04-27 12:53:21
22,121,28,S,4982,40466.6475,2024-08-07,2024-08-07 09:05:11
23,135,22,B,4103,35152.9478,2024-02-23,2024-02-23 10:21:10
24,128,36,B,2350,37516.1961,2023-10-29,2023-10-29 14:15:59
25,134,5,B,15,31250.8259,2023-05-24,2023-05-24 09:10:42
26,26,25,S,3821,39458.7442,2023-10-10,2023-10-10 12:50:41
27,174,9,B,1503,48891.668,2023-07-10,2023-07-10 11:42:41
28,8,10,B,3708,27643.2671,2024-05-31,2024-05-31 15:18:57
29,142,8,B,1523,30184.6603,2023-11-11,2023-11-11 12:46:01
30,122,22,B,4928,38920.849,2024-03-04,2024-03-04 14:44:32
31,47,10,S,3117,39253.3838,2023-07-13,2023-07-13 16:47:00
32,155,13,B,82,28608.4134,2024-09-28,2024-09-28 15:16:27
33,2,40,B,563,9576.1546,2023-01-23,2023-01-23 09:37:17
34,111,12,B,3044,9235.4877,2023-02-16,2023-02-16 16:38:30
35,104,16,S,718,25786.9074,2023-09-06,2023-09-06 10:44:02
36,33,19,B,1847,7245.6937,2024-10-06,2024-10-06 10:55:54
37,128,40,B,112,40982.2113,2023-05-11,2023-05-11 14:47:17
38,110,3,B,3618,19060.7208,2023-05-31,2023-05-31 13:40:36
39,31,19,S,723,25035.7866,2024-05-05,2024-05-05 16:01:23
40,128,4,B,724,20150.0532,2024-11-11,2024-11-11 15:46:50
41,56,12,S,4013,12231.393,2023-10-31,2023-10-31 14:53:00
42,131,24,S,4387,35227.5028,2024-05-26,2024-05-26 10:30:33
43,163,12,S,488,9395.5401,2024-04-13,2024-04-13 15:23:33
44,92,34,B,3919,12897.1278,2024-01-16,2024-01-16 09:01:34
45,113,21,S,2230,44888.4413,2024-11-27,2024-11-27 17:20:17
46,159,21,B,3465,39593.1517,2023-01-05,2023-01-05 08:04:36
47,165,5,S,380,47371.4167,2024-04-13,2024-04-13 08:19:54
48,42,9,B,1175,13995.2641,2024-02-05,2024-02-05 09:37:00
49,8,27,B,1208,1363.4116,2024-10-15,2024-10-15 12:49:47
50,10,26,B,2664,22306.614,2023-08-04,2023-08-04 09:24:40
51,89,18,B,1731,46743.2361,2024-05-18,2024-05-18 09:15:30
52,102,25,B,705,12399.3137,2024-04-29,2024-04-29 17:11:34
53,175,14,B,1296,16293.1971,2023-03-03,2023-03-03 09:45:25
54,33,18,S,1356,6428.6268,2023-02-24,2023-02-24 11:45:04
55,112,16,B,215,10084.9138,2024-09-03,2024-09-03 11:43:11
56,98,25,B,3455,5202.6998,2024-04-20,2024-04-20 08:57:05
57,48,27,B,810,10556.9371,2023-07-19,2023-07-19 17:46:19
58,158,8,B,3181,39873.1104,2024-05-21,2024-05-21 15:03:53
59,53,25,S,1377,41173.9949,2023-11-22,2023-11-22 13:56:59
60,178,35,B,4818,48275.9888,2024-08-20,2024-08-20 16:05:48
61,166,10,S,3997,46254.8671,2023-09-29,2023-09-29 14:12:08
